,하이앙포레 샴푸_0,하이앙포레 샴푸_1,아모스프로페셔널 샴푸_0,아모스프로페셔널 샴푸_1,비욘드 샴푸_0,비욘드 샴푸_1,더프트앤도프트 샴푸_0,더프트앤도프트 샴푸_1,하호니코 샴푸_0,하호니코 샴푸_1,로마 샴푸_0,로마 샴푸_1,러쉬 리햅_0,러쉬 리햅_1,록시땅 샴푸_0,록시땅 샴푸_1,존프리다 컨디셔너_0,존프리다 컨디셔너_1,팬틴 케어_0,팬틴 케어_1,비욘드 컨디셔너_0,비욘드 컨디셔너_1,엘라스틴 컨디셔너_0,엘라스틴 컨디셔너_1,엘라스틴 [시그니처]_0,엘라스틴 [시그니처]_1,오가니스트 컨디셔너_0,오가니스트 컨디셔너_1,로레알 파리 컨디셔너_0,로레알 파리 컨디셔너_1,미쟝센 린스_0,미쟝센 린스_1,아베다 컨디셔너_0,아베다 컨디셔너_1,러쉬 크림_0,러쉬 크림_1,츠바키 컨디셔너NC_0,츠바키 컨디셔너NC_1,암웨이 컨디셔너_0,암웨이 컨디셔너_1,츠바키 컨디셔너_0,츠바키 컨디셔너_1,이니스프리 손상모발용_0,이니스프리 손상모발용_1,미쟝센 로즈에디션_0,미쟝센 로즈에디션_1,미쟝센 피오니_0,미쟝센 피오니_1,케라스타즈 수엥_0,케라스타즈 수엥_1,엘라스틴 브리즈_0,엘라스틴 브리즈_1,아모스프로페셔널 트리트먼트_0,아모스프로페셔널 트리트먼트_1,아모스프로페셔널 CMC_0,아모스프로페셔널 CMC_1,츠바키 마스크_0,츠바키 마스크_1,미쟝센 마스크팩_0,미쟝센 마스크팩_1,로레알 파리 헤어팩_0,로레알 파리 헤어팩_1,모레모 B_0,모레모 B_1,아쿠아더마 헤어트리트먼트_0,아쿠아더마 헤어트리트먼트_1,허니체 마스크_0,허니체 마스크_1,헤드스파7 트리트먼트_0,헤드스파7 트리트먼트_1,에스테티카 헤어마스크_0,에스테티카 헤어마스크_1,투쿨포스쿨 팩_0,투쿨포스쿨 팩_1,허니체 와이_0,허니체 와이_1,닥터포헤어 팩_0,닥터포헤어 팩_1,팬틴 [극손상케어]_0,팬틴 [극손상케어]_1
10,20.38523,67.74193,0.0,0.0,64.01869,61.03646,30.30303,66.66666,0.0,27.77777,0.3557,9.87831,84.8,72.23427,78.19905,74.24892,32.35294,0.0,0.0,0.0,50.0,31.57894,52.17391,42.10526,0.0,0.0,51.85185,42.85714,0.0,0.0,50.0,41.66666,50.0,38.23529,57.14285,73.33333,0.0,0.0,0.0,0.0,37.5,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.14285,44.80519,0.0,0.0,0.0,0.0,0.0,0.0,23.1846,15.82374,40.38461,56.25,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,20.70626,60.75268,0.0,50.0,56.23052,49.71209,33.33333,54.7619,0.0,0.0,0.38456,7.15819,68.0,54.44685,98.10426,60.9442,35.29411,0.0,0.0,0.0,25.0,42.10526,47.82608,42.10526,0.0,0.0,51.85185,33.33333,0.0,0.0,0.0,58.33333,58.82352,100.0,35.71428,63.33333,0.0,0.0,0.0,0.0,33.33333,70.37037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.14285,74.02597,0.0,0.0,0.0,0.0,0.0,0.0,15.16477,13.5446,71.15384,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,21.99036,68.8172,0.0,42.85714,90.96573,54.89443,27.27272,38.09523,0.0,38.88888,0.29275,8.58983,65.6,100.0,77.72511,74.67811,44.11764,0.0,0.0,0.0,50.0,47.36842,47.82608,31.57894,0.0,0.0,22.22222,23.80952,0.0,0.0,68.75,91.66666,64.70588,50.0,35.71428,36.66666,0.0,0.0,0.0,0.0,25.0,48.14814,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,60.71428,60.38961,0.0,0.0,0.0,0.0,0.0,0.0,28.92971,27.67527,42.30769,52.08333,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,18.61958,64.51612,0.0,85.71428,53.11526,56.62188,39.39393,73.80952,0.0,0.0,0.30272,9.23407,78.4,59.21908,70.14218,60.9442,35.29411,0.0,0.0,0.0,0.0,57.89473,78.26086,42.10526,0.0,0.0,48.14814,42.85714,0.0,0.0,81.25,0.0,47.05882,50.0,78.57142,50.0,0.0,0.0,0.0,0.0,50.0,81.48148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,46.42857,11.03896,0.0,0.0,0.0,0.0,0.0,0.0,20.53076,20.6642,26.92307,41.66666,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,25.36115,49.46236,0.0,0.0,57.47663,56.81381,42.42424,54.7619,0.0,0.0,0.32423,5.86972,82.4,45.77006,84.36018,61.80257,35.29411,0.0,0.0,0.0,41.66666,94.73684,60.86956,57.89473,0.0,0.0,51.85185,33.33333,0.0,0.0,37.5,66.66666,52.94117,58.82352,0.0,56.66666,0.0,0.0,0.0,0.0,25.0,40.74074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28571,14.93506,0.0,0.0,0.0,0.0,0.0,0.0,15.42723,30.73583,50.0,75.0,43.75,0.0,0.0,0.0,55.55555,0.0,0.0,0.0
15,22.31139,62.90322,0.0,35.71428,58.72274,48.17658,45.45454,73.80952,100.0,0.0,0.30901,5.44022,68.79999,20.39045,97.63033,57.93991,35.29411,15.15151,0.0,0.0,33.33333,68.42105,52.17391,47.36842,0.0,0.0,44.44444,42.85714,0.0,0.0,62.5,0.0,70.58823,64.70588,57.14285,20.0,0.0,0.0,83.33333,0.0,37.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.14285,40.90909,0.0,0.0,0.0,0.0,100.0,0.0,13.44415,26.85044,40.38461,64.58333,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
16,19.58266,62.36559,35.71428,85.71428,61.838,49.52015,57.57575,85.71428,0.0,27.77777,0.26809,7.08661,76.0,26.68112,71.09004,54.93562,38.23529,0.0,0.0,0.0,0.0,42.10526,69.56521,89.47368,0.0,0.0,51.85185,80.95238,0.0,0.0,56.25,0.0,47.05882,47.05882,0.0,50.0,0.0,0.0,0.0,0.0,50.0,51.85185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,58.44155,0.0,0.0,0.0,0.0,0.0,0.0,16.56459,23.18211,67.30769,81.25,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,12.35955,63.44086,42.85714,0.0,57.32087,52.01535,30.30303,64.28571,0.0,0.0,0.25602,7.73085,56.79999,29.93492,92.89099,75.10729,41.17647,0.0,0.0,0.0,25.0,52.63157,60.86956,68.42105,0.0,0.0,51.85185,42.85714,0.0,0.0,0.0,50.0,55.88235,52.94117,42.85714,30.0,0.0,0.0,0.0,0.0,29.16666,92.59259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.57142,61.03896,0.0,0.0,0.0,0.0,0.0,0.0,54.59317,22.11851,40.38461,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18.45906,80.10752,50.0,0.0,57.78816,68.33013,45.45454,16.66666,0.0,27.77777,0.25235,8.08876,71.2,28.85032,65.40284,68.24034,70.58823,0.0,0.0,0.0,66.66666,42.10526,26.08695,68.42105,0.0,0.0,51.85185,23.80952,0.0,0.0,50.0,75.0,32.35294,70.58823,50.0,56.66666,0.0,0.0,0.0,0.0,62.5,51.85185,0.0,0.0,53.84615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,96.10389,0.0,0.0,0.0,0.0,0.0,0.0,20.15164,20.6642,40.38461,66.66666,0.0,0.0,0.0,0.0,88.88888,0.0,0.0,0.0
19,19.58266,67.74193,0.0,57.14285,57.47663,57.77351,24.24242,26.19047,0.0,0.0,0.2214,5.9413,72.0,24.29501,65.87677,78.11158,38.23529,0.0,0.0,0.0,20.83333,68.42105,21.73913,52.63157,0.0,0.0,37.03703,76.19047,0.0,0.0,75.0,91.66666,38.23529,47.05882,50.0,53.33333,0.0,0.0,83.33333,0.0,50.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.28571,97.40259,0.0,0.0,0.0,0.0,0.0,0.0,20.29746,21.40221,38.46153,45.83333,56.25,0.0,0.0,0.0,55.55555,0.0,0.0,0.0
