,아비브 스티커_0,아비브 스티커_1,메디힐 REX_0,메디힐 REX_1,홀리카홀리카 [아보카도]_0,홀리카홀리카 [아보카도]_1,비플랫 마스크_0,비플랫 마스크_1,토레야 마스크_0,토레야 마스크_1,얼트루 [수딩]_0,얼트루 [수딩]_1,메디힐 마스크_0,메디힐 마스크_1,오아이엠 마스크_0,오아이엠 마스크_1,시드물 시트_0,시드물 시트_1,입솜 마스크_0,입솜 마스크_1,셀로니아 마스크_0,셀로니아 마스크_1,에뛰드 티트리_0,에뛰드 티트리_1,메디힐 이엑스_0,메디힐 이엑스_1,린제이 마스크_0,린제이 마스크_1,닥터자르트 마스크_0,닥터자르트 마스크_1,빌리프 마스크_0,빌리프 마스크_1,러쉬 씨위드_0,러쉬 씨위드_1,프레쉬 마스크_0,프레쉬 마스크_1,한율 수면팩_0,한율 수면팩_1,시드물 팩_0,시드물 팩_1,러쉬 매그너민티_0,러쉬 매그너민티_1,샤넬 마스크_0,샤넬 마스크_1,설화수 여윤팩_0,설화수 여윤팩_1,아리따움 강력보습_0,아리따움 강력보습_1,설화수 옥용팩_0,설화수 옥용팩_1,시드물 고무팩_0,시드물 고무팩_1,보나벨라 마스크_0,보나벨라 마스크_1,린제이 마스크팩_0,린제이 마스크팩_1,이즈앤트리 마스크_0,이즈앤트리 마스크_1,팜스 테라비타_0,팜스 테라비타_1,리리코스 테라피_0,리리코스 테라피_1,어퓨 코팩_0,어퓨 코팩_1,스킨푸드 (진정)_0,스킨푸드 (진정)_1,클루시브 패치_0,클루시브 패치_1,CNP 키트_0,CNP 키트_1,비오레 코팩_0,비오레 코팩_1,스킨미소 모공미인코팩_0,스킨미소 모공미인코팩_1,씨라클 시트_0,씨라클 시트_1,티피오 멀티패치_0,티피오 멀티패치_1,CNP 스트립_0,CNP 스트립_1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74074,0.0,87.80487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.38461,67.27272,0.0,61.7647,0.0,45.45454,41.42857,11.18012,44.2748,22.22222,68.0,54.8387,71.18644,81.08108,86.95652,40.0,75.0,62.5,0.0,0.0,55.17241,79.62962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.96026,46.71717,0.0,0.0,29.41176,0.0,0.0,0.0,26.08695,0.0,0.0,0.0,46.55172,72.91666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.71428,70.37037,0.0,87.80487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,45.45454,80.0,29.41176,0.0,0.0,38.57142,21.73913,22.90076,37.5,52.0,61.29032,66.10169,88.28828,34.7826,28.0,64.35185,58.0,0.0,0.0,71.98275,77.77777,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,12.58278,42.42424,0.0,0.0,0.0,100.0,0.0,0.0,52.17391,0.0,0.0,0.0,72.41379,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.95238,55.55555,0.0,84.14634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6923,43.63636,0.0,50.0,0.0,0.0,34.28571,13.04347,26.71755,48.61111,76.0,58.06451,65.25423,78.82882,78.26086,52.0,56.48148,69.49999,0.0,0.0,68.10344,59.25925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62251,38.38383,0.0,0.0,52.94117,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,44.82758,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,90.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.61538,38.18181,0.0,35.29411,45.45454,0.0,47.14285,16.14906,23.66412,33.33333,20.0,29.03225,53.38983,64.41441,30.43478,44.0,75.46296,84.5,0.0,0.0,87.06896,71.60493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.96026,32.82828,0.0,0.0,35.29411,0.0,0.0,0.0,34.7826,0.0,0.0,0.0,39.65517,52.08333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14285,48.14814,0.0,71.95121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.45454,50.0,44.11764,0.0,0.0,65.71428,16.14906,29.77099,27.77777,32.0,64.51612,64.40677,80.63063,26.08695,68.0,78.24074,63.5,0.0,0.0,67.67241,51.85185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.94701,55.55555,0.0,0.0,41.17647,0.0,0.0,0.0,52.17391,0.0,0.0,0.0,51.72413,52.08333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.63636,0.0,55.88235,0.0,0.0,54.28571,12.42236,33.58778,31.94444,44.0,35.48387,72.03389,70.72072,52.17391,24.0,76.85185,61.0,0.0,0.0,69.39655,100.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,9.27152,46.21212,0.0,0.0,0.0,66.66666,0.0,0.0,26.08695,0.0,0.0,0.0,93.10344,47.91666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.30769,52.72727,0.0,35.29411,100.0,45.45454,47.14285,53.41614,22.90076,37.5,72.0,41.93548,63.55932,67.11711,34.7826,40.0,68.51851,50.0,0.0,0.0,53.01724,77.77777,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,7.94701,62.12121,0.0,0.0,35.29411,66.66666,0.0,0.0,30.43478,0.0,0.0,0.0,60.34482,72.91666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.62962,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,50.90909,0.0,58.82352,45.45454,0.0,40.0,44.09937,20.61068,15.27777,32.0,67.74193,76.27118,70.72072,60.86956,64.0,64.35185,66.0,0.0,0.0,50.0,70.98765,0.0,88.88888,0.0,0.0,0.0,0.0,0.0,100.0,11.25827,55.30303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.82758,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5238,37.03703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.76923,49.0909,0.0,47.05882,72.72727,0.0,60.0,52.17391,21.37404,40.27777,92.0,29.03225,68.64406,82.43243,78.26086,32.0,92.12962,57.5,0.0,0.0,59.91379,66.04938,71.42857,55.55555,0.0,0.0,0.0,0.0,0.0,71.42857,9.27152,59.59595,0.0,0.0,76.47058,55.55555,0.0,0.0,47.82608,0.0,0.0,0.0,37.93103,29.16666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33333,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,10.90909,0.0,58.82352,54.54545,0.0,38.57142,60.86956,14.50381,25.0,64.0,48.38709,83.05084,58.55855,34.7826,0.0,68.98148,56.99999,0.0,0.0,76.2931,90.12345,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,4.63576,46.71717,0.0,0.0,47.05882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.65517,27.08333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
