,더마토리 앰플_0,더마토리 앰플_1,미샤 탄력앰플_0,미샤 탄력앰플_1,빌리프 밤_0,빌리프 밤_1,록시땅 세럼_0,록시땅 세럼_1,이즈앤트리 에센스_0,이즈앤트리 에센스_1,하루하루 에센스_0,하루하루 에센스_1,로지컬리스킨 세럼_0,로지컬리스킨 세럼_1,에스티 로더 컨센트레이트_0,에스티 로더 컨센트레이트_1,제로이드 크림_0,제로이드 크림_1,센텔리안24 포뮬러_0,센텔리안24 포뮬러_1,미샤 크림_0,미샤 크림_1,에스트라 크림_0,에스트라 크림_1,아이오페 리치_0,아이오페 리치_1,아티스트리 크림_0,아티스트리 크림_1,에스티 로더 크림_0,에스티 로더 크림_1,유세린 크림_0,유세린 크림_1,엘러브 크림_0,엘러브 크림_1,유리프 크림_0,유리프 크림_1,AHC 페이스_0,AHC 페이스_1,한율 크림_0,한율 크림_1,보타니티 크림_0,보타니티 크림_1,닥터벨머 크림_0,닥터벨머 크림_1,더마토리 크림_0,더마토리 크림_1,Dr.G 밤_0,Dr.G 밤_1,블랑풀 필터크림_0,블랑풀 필터크림_1,더샘 크림_0,더샘 크림_1,참존 컴플렉스_0,참존 컴플렉스_1,강남이스트 크림_0,강남이스트 크림_1,홀리카홀리카 미스트_0,홀리카홀리카 미스트_1,라네즈 미스트_0,라네즈 미스트_1,보타닉힐 보 미스트_0,보타닉힐 보 미스트_1,CNP 미스트_0,CNP 미스트_1,식물나라 미스트_0,식물나라 미스트_1,숨37˚ 미스트_0,숨37˚ 미스트_1,클레어스 미스트_0,클레어스 미스트_1,비어썸 더블미스트_0,비어썸 더블미스트_1,유세린 스프레이_0,유세린 스프레이_1,이즈앤트리 미스트_0,이즈앤트리 미스트_1,아모레퍼시픽 미스트_0,아모레퍼시픽 미스트_1,레드투래드 미스트_0,레드투래드 미스트_1
10,10.71428,0.0,0.0,23.80952,0.0,27.77777,26.41509,44.44444,0.0,53.48837,0.0,0.0,0.0,0.0,0.0,0.0,8.85608,51.91082,0.0,0.0,24.74226,6.05187,25.61983,45.0,0.0,0.0,0.0,0.0,73.38709,69.76744,46.92307,19.16666,0.0,0.0,0.0,0.0,0.0,0.0,60.41666,55.55555,0.0,0.0,0.0,40.0,35.10638,11.70212,0.0,0.0,1.03412,1.03412,46.42857,0.0,0.0,0.0,0.0,0.0,4.24528,88.73239,21.56862,25.49019,49.33333,23.9819,66.66666,24.0,70.68965,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87096,45.09803,74.19354,0.0,0.0
11,8.57142,0.0,0.0,0.0,0.0,27.77777,35.84905,60.0,0.0,48.8372,0.0,0.0,0.0,0.0,0.0,0.0,9.22509,43.94904,0.0,0.0,16.83848,4.61095,23.14049,38.33333,0.0,0.0,0.0,0.0,66.93548,77.90697,33.84615,31.66666,0.0,0.0,0.0,0.0,0.0,0.0,55.20833,66.66666,0.0,0.0,0.0,25.0,26.59574,9.57446,0.0,0.0,1.86142,1.96483,60.71428,63.15789,0.0,0.0,0.0,0.0,25.47169,100.0,19.60784,27.45098,55.33333,14.93212,33.33333,28.0,74.13793,70.37037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.03225,66.66666,93.54838,0.0,0.0
12,7.14285,0.0,0.0,0.0,0.0,27.77777,39.62264,46.66666,0.0,55.81395,0.0,0.0,0.0,0.0,0.0,0.0,12.91512,67.19745,0.0,0.0,16.49484,5.18731,28.92561,51.66666,0.0,0.0,0.0,0.0,97.58064,69.76744,36.92307,31.66666,0.0,0.0,0.0,0.0,0.0,0.0,62.5,56.79012,0.0,55.55555,0.0,35.0,30.85106,17.02127,0.0,0.0,1.13753,0.72388,57.14285,78.94736,0.0,0.0,0.00291,0.0,7.07547,28.16901,11.7647,23.52941,79.33333,13.12217,72.22222,29.0,68.96551,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16129,68.62745,54.8387,0.0,0.0
13,7.85714,0.0,0.0,28.57142,0.0,33.33333,45.28301,71.11111,13.95348,39.53488,0.0,0.0,0.0,0.0,0.0,0.0,20.2952,75.79617,0.0,0.0,10.30927,5.18731,35.53719,53.33333,0.0,0.0,0.0,0.0,100.0,75.58139,50.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,44.79166,69.1358,0.0,0.0,0.0,45.0,17.02127,15.95744,0.0,0.0,0.62047,1.34436,46.42857,47.36842,0.0,0.0,0.00155,0.0,8.96226,36.61971,35.29411,21.56862,80.66666,20.36199,58.33333,34.0,75.86206,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.67741,72.54901,83.87096,0.0,0.0
14,7.85714,0.0,0.0,23.80952,0.0,72.22222,30.18867,84.44444,0.0,32.55813,0.0,0.0,0.0,0.0,0.0,0.0,38.37638,64.64968,0.0,0.0,14.08934,6.62824,52.89256,33.33333,0.0,0.0,0.0,0.0,95.16129,77.90697,73.07692,30.0,0.0,0.0,0.0,0.0,0.0,0.0,61.45833,100.0,0.0,0.0,0.0,35.0,25.53191,18.0851,0.0,0.0,0.72388,2.37849,50.0,31.57894,0.0,0.0,0.00232,0.0,8.49056,33.80281,27.45098,19.60784,71.33333,9.50226,69.44444,16.0,67.24137,37.03703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6129,60.78431,38.70967,0.0,0.0
15,10.71428,0.0,0.0,0.0,0.0,38.88888,45.28301,100.0,23.25581,37.2093,0.0,0.0,0.0,0.0,0.0,0.0,32.47232,63.37579,0.0,0.0,13.40206,6.05187,73.55371,36.66666,0.0,0.0,0.0,0.0,72.58064,61.6279,78.46153,23.33333,100.0,0.0,0.0,0.0,0.0,0.0,59.375,66.66666,0.0,0.0,0.0,55.0,18.0851,21.27659,0.0,0.0,0.93071,3.51602,53.57142,26.31578,0.0,0.0,0.0,0.0,6.60377,40.84507,27.45098,11.7647,86.0,9.04977,61.11111,28.0,55.17241,37.03703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.80645,62.74509,51.6129,0.0,0.0
16,7.85714,0.0,0.0,0.0,55.55555,27.77777,49.0566,22.22222,20.93023,37.2093,0.0,0.0,0.0,0.0,0.0,0.0,29.52029,56.68789,0.0,0.0,10.99656,6.34005,65.28925,56.66666,0.0,0.0,0.0,0.0,94.35483,67.44186,85.38461,25.0,0.0,0.0,0.0,0.0,0.0,0.0,61.45833,74.07407,0.0,0.0,0.0,0.0,13.82978,29.78723,0.0,0.0,1.13753,80.45501,32.14285,26.31578,0.0,0.0,0.0,0.0,6.60377,40.84507,19.60784,35.29411,79.33333,10.40723,69.44444,33.0,77.5862,62.96296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,60.78431,80.64516,0.0,0.0
17,18.57142,0.0,0.0,0.0,0.0,44.44444,33.96226,51.11111,32.55813,46.51162,0.0,0.0,0.0,0.0,0.0,0.0,41.69741,46.17834,0.0,0.0,11.3402,11.23919,100.0,71.66666,54.54545,0.0,0.0,62.5,74.19354,65.11627,80.0,38.33333,0.0,0.0,0.0,0.0,0.0,0.0,59.375,79.01234,0.0,66.66666,0.0,35.0,13.82978,7.4468,0.0,0.0,0.93071,100.0,25.0,84.21052,0.0,0.0,0.0,0.0,7.54716,59.15492,43.13725,27.45098,74.0,6.78733,52.77777,19.0,34.48275,25.92592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.06451,52.94117,61.29032,0.0,0.0
18,31.42857,0.0,0.0,0.0,0.0,0.0,33.96226,40.0,23.25581,76.74418,0.0,0.0,0.0,0.0,0.0,0.0,36.90036,35.03184,0.0,0.0,17.86941,21.32564,57.85123,53.33333,45.45454,0.0,0.0,0.0,63.70967,76.74418,68.46153,25.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,43.20987,0.0,0.0,0.0,30.0,12.76595,15.95744,0.0,0.0,1.6546,62.77145,71.42857,68.42105,0.0,0.0,0.0,0.0,8.01886,21.12676,68.62745,27.45098,78.66666,14.93212,55.55555,27.0,22.41379,48.14814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.06451,58.82352,54.8387,0.0,0.0
19,20.71428,0.0,0.0,0.0,100.0,0.0,56.60377,33.33333,11.6279,48.8372,0.0,0.0,0.0,0.0,0.0,0.0,28.41328,29.61783,0.0,0.0,16.1512,18.15561,46.28099,76.66666,45.45454,0.0,0.0,0.0,65.32258,44.18604,97.6923,30.83333,0.0,0.0,0.0,0.0,0.0,0.0,67.70833,54.32098,0.0,0.0,0.0,40.0,15.95744,14.89361,0.0,0.0,1.86142,45.60496,100.0,0.0,0.0,0.0,0.0,0.0,4.71698,29.57746,98.03921,19.60784,89.33333,11.31221,66.66666,23.0,29.31034,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,52.94117,83.87096,0.0,0.0
