,뺄리오복숭아맛_0,뺄리오복숭아맛_1,뉴트리디데이 올뉴_0,뉴트리디데이 올뉴_1,레인보우라이트 구미_0,레인보우라이트 구미_1,바이탈뷰티 미네랄_0,바이탈뷰티 미네랄_1,락토핏 골드_0,락토핏 골드_1,고려은단 1000_0,고려은단 1000_1,고려은단 플러스_0,고려은단 플러스_1,브이에이피 햇살비타민D젤리_0,브이에이피 햇살비타민D젤리_1,레인보우라이트 레몬젤리_0,레인보우라이트 레몬젤리_1,캘리포니아골드뉴트리션 유산균_0,캘리포니아골드뉴트리션 유산균_1,자로우포뮬러스 유산균_0,자로우포뮬러스 유산균_1,바이탈뷰티 멀티팩_0,바이탈뷰티 멀티팩_1,얼라이브 비타민_0,얼라이브 비타민_1,스킨톡 필_0,스킨톡 필_1,정관장에브리타임_0,정관장에브리타임_1,네이처스웨이 비타민_0,네이처스웨이 비타민_1,솔가 800_0,솔가 800_1,바이탈뷰티 프로바이오_0,바이탈뷰티 프로바이오_1,자로우포뮬러스 이피에스_0,자로우포뮬러스 이피에스_1,나우푸드 시스테인_0,나우푸드 시스테인_1,나트롤 10000mcg_0,나트롤 10000mcg_1,나우푸드 실리마린_0,나우푸드 실리마린_1,아토팜 로션_0,아토팜 로션_1,그린핑거 얼굴로션_0,그린핑거 얼굴로션_1,아비노베이비 로션_0,아비노베이비 로션_1,아토팜 크림_0,아토팜 크림_1,그린핑거 로션_0,그린핑거 로션_1,아비노베이비 크림_0,아비노베이비 크림_1,프리메라 크림_0,프리메라 크림_1,베베가닉 크림_0,베베가닉 크림_1,궁중비책 로션_0,궁중비책 로션_1,더 순수 로션_0,더 순수 로션_1,아토앤오투 수딩젤_0,아토앤오투 수딩젤_1,숨37˚ 크림_0,숨37˚ 크림_1,오이보스 페이스크림_0,오이보스 페이스크림_1,그린핑거 [SPF50+/PA+++]_0,그린핑거 [SPF50+/PA+++]_1,닥터아토 [SPF30/PA++]_0,닥터아토 [SPF30/PA++]_1,그린핑거 [SPF45/PA+++]_0,그린핑거 [SPF45/PA+++]_1,아토팜 [SPF43/PA+++]_0,아토팜 [SPF43/PA+++]_1
40,0.0,0.0,64.51612,58.06451,0.0,0.0,0.0,0.0,80.47493,100.0,37.03703,0.0,29.41176,0.0,0.0,0.0,0.0,0.0,92.80575,46.76258,0.0,0.0,0.0,0.0,32.44147,71.11111,0.0,0.0,47.27188,20.90866,0.0,0.0,0.0,60.0,65.67164,31.37254,0.0,0.0,0.0,0.0,0.0,0.0,52.657,98.31081,58.33333,47.84688,0.0,36.66666,100.0,61.79775,49.47368,35.10204,56.09318,25.9958,100.0,76.92307,67.0886,59.49367,36.73469,25.0,68.97689,28.28947,0.0,0.0,31.01265,31.01265,0.0,0.0,92.0,22.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,32.25806,100.0,0.0,0.0,0.0,0.0,86.27968,78.89125,37.03703,22.22222,76.47058,0.0,0.0,0.0,0.0,0.0,74.82014,56.83453,0.0,0.0,0.0,0.0,34.11371,55.55555,0.0,0.0,49.29953,24.75062,0.0,0.0,60.0,32.0,40.2985,51.96078,0.0,0.0,0.0,0.0,0.0,0.0,52.41545,71.28378,65.12345,74.64114,0.0,43.33333,30.44925,57.30337,66.8421,46.93877,58.96057,24.73794,36.7816,76.92307,69.62025,79.74683,37.41496,21.875,46.53465,50.0,0.0,0.0,34.81012,34.81012,0.0,0.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,45.16129,25.80645,0.0,0.0,0.0,0.0,82.8496,55.4371,25.92592,37.03703,0.0,29.41176,0.0,0.0,0.0,0.0,54.67625,84.17266,0.0,0.0,0.0,0.0,28.09364,64.44444,0.0,0.0,63.82488,24.05704,0.0,0.0,24.0,0.0,37.31343,57.84313,0.0,0.0,0.0,0.0,0.0,0.0,57.24637,43.91891,100.0,64.11483,0.0,33.33333,21.96339,41.57303,67.36842,95.10204,54.30107,40.67085,43.67816,53.84615,72.15189,67.0886,42.85714,25.0,52.14521,43.42105,0.0,0.0,25.94936,25.94936,0.0,0.0,52.0,34.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,35.48387,35.48387,0.0,35.71428,0.0,0.0,69.39313,48.61407,22.22222,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,64.7482,74.10071,0.0,0.0,0.0,0.0,24.74916,100.0,0.0,0.0,77.84331,22.03086,33.33333,0.0,60.0,40.0,65.67164,67.64705,0.0,0.0,0.0,0.0,0.0,0.0,61.35265,65.2027,80.86419,68.42105,0.0,93.33333,20.13311,35.95505,56.8421,89.79591,44.08602,48.42767,21.83908,38.46153,63.29113,100.0,25.85034,50.0,64.68646,52.96052,0.0,0.0,30.37974,30.37974,0.0,0.0,66.0,25.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,38.70967,29.03225,0.0,42.85714,0.0,0.0,83.90501,50.95948,66.66666,25.92592,0.0,0.0,0.0,0.0,0.0,0.0,87.05035,72.66187,0.0,0.0,0.0,0.0,19.06354,85.18518,0.0,0.0,70.97695,22.17113,0.0,0.0,68.0,68.0,80.59701,60.78431,0.0,0.0,0.0,0.0,0.0,0.0,69.56521,78.71621,76.5432,62.20095,41.17647,33.33333,22.62895,41.57303,37.36842,73.46938,69.35483,61.00628,26.43678,0.0,60.75949,73.41772,34.0136,18.75,64.0264,54.60526,0.0,0.0,25.94936,25.94936,0.0,0.0,68.0,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,45.16129,32.25806,0.0,100.0,0.0,0.0,77.3087,60.12793,33.33333,25.92592,41.17647,0.0,0.0,0.0,0.0,0.0,92.08633,87.76978,0.0,0.0,0.0,0.0,19.06354,100.0,0.0,0.0,62.22119,16.11596,0.0,0.0,64.0,36.0,68.65671,68.62745,0.0,0.0,0.0,0.0,0.0,0.0,75.84541,85.81081,77.46913,53.58851,64.70588,0.0,21.46422,46.06741,44.21052,75.5102,62.18637,93.50104,28.73563,69.23076,40.50632,93.67088,36.05442,29.6875,64.68646,43.42105,0.0,0.0,23.41772,23.41772,0.0,0.0,44.0,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,58.06451,51.6129,0.0,57.14285,0.0,0.0,77.04485,43.4968,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.46762,63.30935,0.0,0.0,0.0,0.0,27.75919,75.55555,0.0,0.0,61.93548,17.65118,0.0,0.0,40.0,28.0,61.19402,48.03921,0.0,0.0,0.0,0.0,0.0,0.0,80.91787,88.17567,68.51851,47.84688,76.47058,0.0,20.13311,57.30337,34.21052,77.55102,55.91397,86.5828,22.9885,100.0,70.88607,69.62025,37.41496,18.75,74.91749,29.60526,0.0,0.0,27.8481,27.8481,0.0,0.0,68.0,65.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,45.16129,64.51612,0.0,35.71428,0.0,0.0,78.10026,37.31343,18.51851,25.92592,41.17647,0.0,0.0,0.0,0.0,0.0,57.55395,76.25899,0.0,0.0,75.0,0.0,81.60535,62.96296,0.0,0.0,66.90322,14.75218,0.0,0.0,36.0,0.0,46.26865,37.2549,0.0,0.0,0.0,0.0,0.0,0.0,51.20772,85.47297,62.03703,55.74162,100.0,26.66666,17.47088,48.8764,49.47368,66.93877,49.64157,83.01886,28.73563,46.15384,74.68354,58.22784,36.05442,23.4375,54.78547,38.81578,0.0,0.0,28.48101,28.48101,0.0,0.0,46.0,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,29.03225,77.41935,0.0,35.71428,0.0,0.0,93.13984,24.52025,0.0,0.0,0.0,47.05882,0.0,0.0,0.0,0.0,43.88489,82.01438,0.0,0.0,0.0,0.0,77.59197,57.77777,0.0,0.0,60.65437,18.68765,0.0,0.0,72.0,28.0,35.82089,47.05882,0.0,0.0,0.0,0.0,0.0,0.0,56.76328,85.81081,68.82716,68.42105,52.94117,20.0,18.13643,42.69662,54.21052,92.65306,61.11111,65.82809,31.03448,92.30769,62.02531,54.43037,25.85034,17.1875,68.64686,50.98684,0.0,0.0,28.48101,28.48101,0.0,0.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,19.35483,90.32258,0.0,0.0,0.0,0.0,75.19788,28.57142,0.0,29.62962,52.94117,0.0,0.0,0.0,0.0,0.0,66.90647,88.4892,0.0,0.0,0.0,0.0,73.24414,44.44444,0.0,0.0,78.81105,19.15523,0.0,0.0,56.0,24.0,67.16417,55.88235,0.0,0.0,0.0,0.0,0.0,0.0,70.0483,65.54054,70.98765,59.33014,0.0,46.66666,19.63394,40.44943,95.26315,100.0,56.09318,63.52201,54.02298,53.84615,82.27848,88.60759,23.80952,23.4375,65.34653,56.90789,0.0,0.0,25.94936,25.94936,0.0,0.0,50.0,31.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
