,홀리카홀리카 쉬머_0,홀리카홀리카 쉬머_1,타르트 팔레트_0,타르트 팔레트_1,에뛰드 카페]_0,에뛰드 카페]_1,롬앤 아이즈_0,롬앤 아이즈_1,스틸라 아이섀도우_0,스틸라 아이섀도우_1,홀리카홀리카 나이트]_0,홀리카홀리카 나이트]_1,클리오 섀도우_0,클리오 섀도우_1,미샤 [매트]_0,미샤 [매트]_1,클리오 컬링]_0,클리오 컬링]_1,VDL 픽서_0,VDL 픽서_1,홀리카홀리카 컬링]_0,홀리카홀리카 컬링]_1,더샘 컬링]_0,더샘 컬링]_1,어퓨 모어댄텐미리]_0,어퓨 모어댄텐미리]_1,헤라 마스카라_0,헤라 마스카라_1,시드물 세럼_0,시드물 세럼_1,페리페라 컬링]_0,페리페라 컬링]_1,에뛰드 카라_0,에뛰드 카라_1,라네즈 마스카라_0,라네즈 마스카라_1,키스미 EX_0,키스미 EX_1,키스미 워터프루프_0,키스미 워터프루프_1,비바이바닐라 블랙_0,비바이바닐라 블랙_1,미샤 볼륨]_0,미샤 볼륨]_1,네이처리퍼블릭 마스카라_0,네이처리퍼블릭 마스카라_1,키스미 브라운_0,키스미 브라운_1,미샤 슬림_0,미샤 슬림_1,나스 베이스_0,나스 베이스_1,맥 베이스_0,맥 베이스_1,미샤 프라이머_0,미샤 프라이머_1,VDL 아이즈_0,VDL 아이즈_1,어반디케이 포션_0,어반디케이 포션_1,코드글로컬러 아이프라이머_0,코드글로컬러 아이프라이머_1,어퓨 프라이머_0,어퓨 프라이머_1,바비브라운 베이스_0,바비브라운 베이스_1,스킨푸드 프라이머_0,스킨푸드 프라이머_1,투페이스드 인슈어런스_0,투페이스드 인슈어런스_1,더샘 프라이머_0,더샘 프라이머_1,아임미미 헌터_0,아임미미 헌터_1,NYX 프라이머_0,NYX 프라이머_1,정샘물 프라이머_0,정샘물 프라이머_1,맥퀸뉴욕 립앤아이_0,맥퀸뉴욕 립앤아이_1
38,0.0,50.0,70.72243,45.48736,0.0,0.0,0.0,0.0,68.79999,20.0,0.0,0.0,47.44897,56.34517,0.0,0.0,0.0,0.0,25.0,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,55.1282,0.0,0.0,0.0,0.0,0.0,0.0,53.33333,44.68085,0.0,0.0,0.0,49.77973,0.0,0.0,0.0,0.0,54.8387,52.17391,0.0,0.0,0.0,0.0,61.53846,0.0,45.45454,63.2653,15.04854,14.10256,0.0,0.0,0.0,0.0,0.0,0.0,38.65546,41.93548,45.45454,78.7234,63.33333,11.11111,0.0,0.0,14.11764,41.93548,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0
39,0.0,0.0,93.53612,52.70758,0.0,0.0,0.0,0.0,47.2,22.06896,0.0,0.0,60.20408,60.9137,0.0,0.0,0.0,0.0,31.94444,61.11111,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,35.89743,0.0,0.0,0.0,0.0,0.0,0.0,51.11111,31.91489,0.0,0.0,42.10526,48.89867,0.0,0.0,0.0,0.0,29.03225,39.13043,0.0,0.0,0.0,0.0,80.76923,0.0,41.47727,44.89795,11.65048,12.17948,0.0,0.0,0.0,0.0,0.0,0.0,31.09243,29.03225,45.45454,100.0,43.33333,15.07936,0.0,0.0,11.7647,29.03225,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0
40,50.0,33.33333,82.5095,62.45487,0.0,0.0,0.0,0.0,44.8,16.55172,0.0,0.0,38.2653,66.49746,0.0,0.0,0.0,0.0,15.27777,72.22222,0.0,0.0,0.0,0.0,0.0,0.0,44.87179,50.0,0.0,100.0,0.0,0.0,0.0,0.0,42.22222,36.17021,0.0,0.0,31.57894,37.0044,0.0,0.0,0.0,0.0,35.48387,26.08695,0.0,41.66666,0.0,0.0,69.23076,0.0,38.63636,62.24489,15.04854,15.70512,0.0,0.0,0.0,0.0,0.0,0.0,33.61344,64.51612,64.93506,51.06382,53.33333,11.11111,0.0,0.0,14.11764,22.58064,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
41,0.0,33.33333,60.8365,51.62454,0.0,0.0,0.0,0.0,59.2,23.10344,0.0,0.0,35.71428,53.8071,0.0,0.0,0.0,0.0,26.38888,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,48.71794,41.02564,0.0,0.0,0.0,0.0,0.0,0.0,26.66666,42.55319,0.0,0.0,26.31578,40.96916,0.0,0.0,0.0,0.0,33.87096,60.86956,0.0,0.0,0.0,0.0,80.76923,69.23076,37.5,50.0,14.5631,13.46153,0.0,0.0,0.0,0.0,0.0,0.0,38.65546,41.93548,71.42857,48.93617,16.66666,11.50793,0.0,0.0,10.58823,22.58064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,48.6692,43.32129,0.0,0.0,0.0,0.0,48.8,23.7931,0.0,0.0,37.24489,57.3604,0.0,0.0,0.0,0.0,9.72222,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,56.41025,52.5641,0.0,0.0,0.0,0.0,0.0,0.0,28.88888,38.29787,83.33333,0.0,0.0,53.30396,0.0,0.0,0.0,0.0,38.70967,56.52173,0.0,0.0,0.0,0.0,53.84615,0.0,53.97727,36.73469,14.07766,9.93589,0.0,0.0,0.0,0.0,0.0,0.0,21.0084,35.48387,42.85714,68.0851,20.0,4.36507,0.0,0.0,7.05882,38.70967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,57.03422,65.70397,0.0,0.0,0.0,0.0,48.8,38.62068,0.0,0.0,37.7551,59.89847,0.0,0.0,0.0,0.0,30.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.71794,51.28205,0.0,0.0,0.0,0.0,0.0,0.0,42.22222,53.19148,0.0,0.0,31.57894,41.85022,0.0,0.0,0.0,0.0,25.80645,30.43478,0.0,0.0,0.0,0.0,61.53846,0.0,43.75,58.16326,8.73786,11.85897,0.0,0.0,0.0,0.0,0.0,0.0,100.0,29.03225,41.55844,48.93617,26.66666,3.57142,0.0,0.0,55.29411,22.58064,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,62.35741,60.2888,0.0,0.0,0.0,0.0,58.4,22.06896,0.0,0.0,20.40816,48.73096,0.0,0.0,0.0,0.0,9.72222,61.11111,0.0,0.0,0.0,0.0,0.0,0.0,39.74358,53.84615,0.0,0.0,0.0,0.0,0.0,0.0,37.77777,48.93617,0.0,0.0,31.57894,44.49339,0.0,0.0,0.0,0.0,50.0,54.34782,0.0,100.0,0.0,0.0,50.0,0.0,36.36363,44.89795,18.93203,16.02564,0.0,0.0,0.0,0.0,62.5,0.0,69.74789,29.03225,54.54545,57.4468,26.66666,2.77777,0.0,0.0,48.23529,35.48387,0.0,0.0,50.0,50.0,54.54545,0.0,0.0,0.0
45,0.0,0.0,79.8479,70.39711,0.0,0.0,0.0,0.0,52.8,26.55172,0.0,0.0,56.12244,51.26903,0.0,0.0,0.0,0.0,40.27777,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,51.28205,70.51282,0.0,87.5,0.0,0.0,0.0,0.0,15.55555,40.42553,0.0,0.0,36.8421,30.837,0.0,0.0,0.0,0.0,43.54838,34.7826,0.0,0.0,0.0,0.0,38.46153,38.46153,41.47727,72.44897,18.4466,15.70512,0.0,0.0,0.0,0.0,0.0,0.0,39.49579,16.12903,45.45454,46.80851,36.66666,3.96825,0.0,0.0,17.64705,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,70.3422,62.81588,0.0,0.0,0.0,0.0,46.4,15.86206,0.0,0.0,40.81632,53.29949,0.0,0.0,0.0,0.0,22.22222,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,37.17948,44.87179,63.63636,0.0,0.0,0.0,0.0,0.0,66.66666,61.70212,0.0,0.0,63.15789,40.0881,0.0,0.0,0.0,0.0,30.64516,45.65217,75.0,0.0,0.0,0.0,69.23076,0.0,51.70454,63.2653,16.99029,12.82051,0.0,0.0,0.0,0.0,0.0,0.0,50.42016,48.38709,38.96103,80.85106,70.0,2.38095,0.0,0.0,27.05882,35.48387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,61.11111,69.96197,66.787,0.0,0.0,0.0,0.0,54.4,20.0,0.0,0.0,51.0204,37.56345,0.0,0.0,0.0,0.0,100.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,43.58974,41.02564,0.0,0.0,0.0,0.0,0.0,0.0,37.77777,42.55319,0.0,0.0,78.94736,45.81497,0.0,0.0,0.0,0.0,41.93548,45.65217,50.0,0.0,0.0,0.0,65.38461,0.0,43.75,59.18367,11.65048,16.02564,0.0,0.0,0.0,0.0,0.0,0.0,72.2689,29.03225,45.45454,31.91489,40.0,6.3492,0.0,0.0,31.7647,35.48387,0.0,0.0,0.0,0.0,72.72727,0.0,0.0,0.0
