,클라랑스 로션_0,클라랑스 로션_1,뉴스킨 에이지락바디_0,뉴스킨 에이지락바디_1,클라랑스 마스벨트_0,클라랑스 마스벨트_1,블리스 식스팩_0,블리스 식스팩_1,벨레다 오일_0,벨레다 오일_1,클라랑스 컨트롤_0,클라랑스 컨트롤_1,미스레그 핫볼_0,미스레그 핫볼_1,아므 바디_0,아므 바디_1,스킨조아 크림_0,스킨조아 크림_1,라뮤즈 이펙터_0,라뮤즈 이펙터_1,라뮤즈 젤_0,라뮤즈 젤_1,커버라인 수면쉐이퍼_0,커버라인 수면쉐이퍼_1,힐플렉스 크림_0,힐플렉스 크림_1,더마콜 버턱스앤힙스_0,더마콜 버턱스앤힙스_1,크리스탈 스틱_0,크리스탈 스틱_1,크리스탈 [무향]_0,크리스탈 [무향]_1,크리스탈 스프레이_0,크리스탈 스프레이_1,비오레 파우더시트_0,비오레 파우더시트_1,더마비 프라이머_0,더마비 프라이머_1,프라도어 [무향]_0,프라도어 [무향]_1,레이디 스피드 스틱 데오드란트_0,레이디 스피드 스틱 데오드란트_1,프라도어 파우더리향]_0,프라도어 파우더리향]_1,니베아 컴포트_0,니베아 컴포트_1,이솝 데오도란트_0,이솝 데오도란트_1,니베아 [스틱]_0,니베아 [스틱]_1,하이드로퓨갈 미스트_0,하이드로퓨갈 미스트_1,유리아쥬 두세르_0,유리아쥬 두세르_1,미스사사 향_0,미스사사 향_1,니베아 스틱드라이콤포트_0,니베아 스틱드라이콤포트_1,니베아 플라워_0,니베아 플라워_1,Rexena패션_0,Rexena패션_1,미스사사 슈퍼쿨링파우더시트_0,미스사사 슈퍼쿨링파우더시트_1,니베아 [롤온]_0,니베아 [롤온]_1,바이빠세 [뱀부]_0,바이빠세 [뱀부]_1,RAP PHYTO 쿨링젤_0,RAP PHYTO 쿨링젤_1,미스레그 [백합향]_0,미스레그 [백합향]_1,클라랑스 레그스_0,클라랑스 레그스_1,RAP PHYTO 시트러스_0,RAP PHYTO 시트러스_1,아이뽀 젤_0,아이뽀 젤_1,안나홀츠 오일_0,안나홀츠 오일_1
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.45762,13.67187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.98765,43.93939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,54.23728,5.85937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.51851,62.87878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.98305,10.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.87654,48.48484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.66666,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.76271,14.84375,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.66666,53.84615,0.0,0.0,0.0,0.0,19.75308,56.0606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.66666,41.66666
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.35593,10.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.98765,43.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.66666,41.66666
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.49152,4.29687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.92307,0.0,0.0,0.0,0.0,19.75308,56.81818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.33333,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.40677,5.46875,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846,0.0,0.0,0.0,0.0,19.75308,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33333,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.84745,5.85937,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75308,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,41.66666
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.32203,9.76562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.66666,0.0,0.0,0.0,46.15384,0.0,8.64197,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.33333,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.76271,6.64062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72727,17.28395,68.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
