,해피바스 샤워젤_0,해피바스 샤워젤_1,러쉬 인터갈락틱_0,러쉬 인터갈락틱_1,사봉 자스민_0,사봉 자스민_1,지오마 스크럽_0,지오마 스크럽_1,일리윤 탑투토워시_0,일리윤 탑투토워시_1,지오마 바디스크럽_0,지오마 바디스크럽_1,더바디샵 샤워젤_0,더바디샵 샤워젤_1,나인위시스 [SPF21]_0,나인위시스 [SPF21]_1,겔랑 헤어_0,겔랑 헤어_1,코스노리 크림_0,코스노리 크림_1,오스트레일리안골드 [SPF30]_0,오스트레일리안골드 [SPF30]_1,오샐런스 스프레이_0,오샐런스 스프레이_1,베네피트 브론저_0,베네피트 브론저_1,페이스인페이스 원더렉스_0,페이스인페이스 원더렉스_1,러쉬 쉼미_0,러쉬 쉼미_1,밀키드레스 바디밤_0,밀키드레스 바디밤_1,베네피트 롱거_0,베네피트 롱거_1,라네즈 바디쿠션_0,스키니탠 브론저_0,스키니탠 브론저_1,세포라 컬렉션 로션_0,세포라 컬렉션 로션_1,오스트레일리안골드 로션_0,오스트레일리안골드 로션_1,세포라 컬렉션 젤_0,세포라 컬렉션 젤_1,부르조아 스프레이_0,부르조아 스프레이_1,나스 오일_0,나스 오일_1,펜티뷰티 루미나이저_0,펜티뷰티 루미나이저_1,러쉬 스타킹스_0,러쉬 스타킹스_1,질레트 면도젤_0,질레트 면도젤_1,질레트 면도기_0,질레트 면도기_1,미샤 면도기_0,미샤 면도기_1,natural look왁스_0,natural look왁스_1,쉬크 면도기_0,쉬크 면도기_1,이니스프리 면도기_0,이니스프리 면도기_1,슈가스트립이즈 제모제_0,슈가스트립이즈 제모제_1,뭄 클래식_0,뭄 클래식_1,카이 면도기_0,카이 면도기_1,왁스앤왁싱 왁스_0,왁스앤왁싱 왁스_1,지지 왁스_0,지지 왁스_1,Nad's젤_0,Nad's젤_1,노브랜드 면도기_0,노브랜드 면도기_1,라보에이치 [두피강화]_0,라보에이치 [두피강화]_1
10,0.0,0.0,25.58139,25.0,0.0,0.0,0.58487,51.85185,13.68421,0.0,14.99692,86.37413,61.53846,76.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.67741,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,70.90909,24.09638,70.64709,61.50985,0.0,0.0,0.0,0.0,47.41035,67.88321,0.0,0.0,0.0,0.0,31.25,11.8421,12.0,55.55555,0.0,0.0,81.35593,49.45054,0.0,0.0,75.45691,14.46384,0.0,0.0
11,0.0,0.0,23.25581,50.0,0.0,55.55555,0.31193,9.25925,47.36842,0.0,15.18131,39.72286,75.64102,78.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.8387,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,58.18181,37.34939,56.3042,67.94347,0.0,0.0,0.0,0.0,68.9243,51.45985,0.0,0.0,0.0,0.0,57.14285,11.18421,16.44444,35.55555,0.0,0.0,59.32203,58.24175,0.0,0.0,63.96866,14.46384,0.0,0.0
12,0.0,66.66666,11.6279,38.88888,0.0,0.0,0.28593,22.22222,30.52631,0.0,13.39889,35.10392,53.84615,89.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.70967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.27272,24.09638,56.70446,77.42655,0.0,0.0,0.0,0.0,46.21513,54.37956,0.0,0.0,0.0,0.0,42.85714,25.0,6.66666,88.88888,0.0,0.0,72.88135,49.45054,0.0,0.0,60.05221,8.4788,0.0,0.0
13,0.0,55.55555,25.58139,25.0,0.0,0.0,0.18195,12.96296,25.26315,0.0,11.37062,35.10392,56.41025,50.90909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.29032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,55.42168,56.57104,61.6586,0.0,0.0,0.0,0.0,47.80876,51.82481,0.0,0.0,0.0,0.0,46.42857,33.55263,13.33333,60.0,0.0,0.0,83.05084,56.04395,0.0,0.0,35.24804,10.72319,0.0,0.0
14,0.0,88.88888,34.88372,47.22222,0.0,0.0,0.10397,12.96296,32.63157,0.0,13.95205,46.65127,43.58974,52.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.93548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,25.3012,49.29953,70.24916,0.0,62.5,0.0,0.0,51.39442,76.27737,0.0,0.0,0.0,0.0,33.03571,21.71052,9.77777,44.44444,0.0,0.0,50.84745,37.36263,0.0,0.0,29.76501,8.72817,0.0,0.0
15,0.0,0.0,39.53488,63.88888,0.0,66.66666,0.4419,0.0,15.78947,0.0,33.92747,39.72286,35.89743,38.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.2258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.18181,28.91566,64.44296,100.0,0.0,0.0,0.0,0.0,58.96414,43.06569,0.0,0.0,0.0,0.0,44.64285,11.8421,11.11111,44.44444,0.0,0.0,45.76271,45.05494,0.0,0.0,29.50391,10.47381,0.0,0.0
16,0.0,0.0,23.25581,36.11111,71.42857,0.0,0.12997,9.25925,25.26315,0.0,20.52858,42.37875,52.5641,56.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.54838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.54545,31.3253,64.97665,84.04611,0.0,0.0,0.0,0.0,56.17529,80.65693,0.0,0.0,0.0,0.0,41.96428,66.44736,17.33333,33.33333,0.0,0.0,76.27118,51.64835,0.0,0.0,21.14882,9.72568,0.0,0.0
17,0.0,0.0,25.58139,27.77777,0.0,0.0,0.12997,0.0,18.94736,0.0,17.27105,48.96073,65.38461,67.27272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.32258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.72727,18.07228,66.44429,87.46746,0.0,0.0,0.0,0.0,42.62948,100.0,0.0,0.0,0.0,0.0,39.28571,34.21052,8.0,20.0,0.0,0.0,59.32203,62.63736,0.0,0.0,25.32637,7.48129,0.0,0.0
18,0.0,0.0,30.23255,27.77777,0.0,66.66666,0.20795,18.51851,23.15789,0.0,16.47203,35.45034,60.25641,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.58064,0.0,0.0,0.0,0.0,0.0,38.88888,0.0,0.0,0.0,0.0,78.18181,32.53012,79.78652,85.3849,100.0,75.0,0.0,0.0,41.03585,71.53284,0.0,0.0,0.0,0.0,55.35714,14.47368,8.44444,57.77777,0.0,0.0,67.79661,53.84615,0.0,0.0,26.89295,9.97506,0.0,0.0
19,0.0,0.0,27.90697,30.55555,0.0,0.0,0.16896,9.25925,16.8421,0.0,18.56177,35.33487,46.15384,65.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.09677,0.0,0.0,0.0,0.0,0.0,38.88888,0.0,0.0,0.0,0.0,52.72727,8.43373,78.91927,59.98512,0.0,0.0,0.0,0.0,43.42629,61.31386,0.0,0.0,0.0,0.0,57.14285,22.36842,5.33333,57.77777,0.0,0.0,77.9661,80.21978,0.0,0.0,28.45953,5.48628,0.0,0.0
