,맥 하이라이터_0,맥 하이라이터_1,더밤 루머나이저_0,더밤 루머나이저_1,홀리카홀리카 하이라이터_0,홀리카홀리카 하이라이터_1,샤넬 에쌍씨엘_0,샤넬 에쌍씨엘_1,베네피트 하이라이터_0,베네피트 하이라이터_1,잇츠스킨 하이라이터_0,잇츠스킨 하이라이터_1,어퓨 하이라이터_0,어퓨 하이라이터_1,부르조아 파우더_0,부르조아 파우더_1,베네피트 글로우_0,베네피트 글로우_1,캔메이크 하이라이터_0,캔메이크 하이라이터_1,레어카인드 [쉐딩]_0,레어카인드 [쉐딩]_1,미샤 컨투어_0,미샤 컨투어_1,투쿨포스쿨 로댕_0,투쿨포스쿨 로댕_1,삐아 [쉐딩]_0,삐아 [쉐딩]_1,페리페라 쉐딩_0,페리페라 쉐딩_1,롬앤 쉐입_0,롬앤 쉐입_1,이글립스 쉐딩_0,이글립스 쉐딩_1,아리따움 파우더_0,아리따움 파우더_1,베네피트 라이트_0,베네피트 라이트_1,삐아 컨투어링_0,삐아 컨투어링_1,블랙루즈 컨투어링_0,블랙루즈 컨투어링_1,이니스프리 컨투어링_0,이니스프리 컨투어링_1,케빈어코인 파우더_0,케빈어코인 파우더_1,미샤 스틱(쉐딩)_0,미샤 스틱(쉐딩)_1,클리오 쉐이딩_0,클리오 쉐이딩_1,맥퀸뉴욕 쉐딩_0,맥퀸뉴욕 쉐딩_1,어퓨 키트_0,어퓨 키트_1,에뛰드 휠_0,에뛰드 휠_1,스킨푸드 쿠키)_0,스킨푸드 쿠키)_1,네이처리퍼블릭 팔레트_0,네이처리퍼블릭 팔레트_1,클리오 팔레트_0,클리오 팔레트_1,웨이크메이크 치크_0,웨이크메이크 치크_1,크리니크 팔레트_0,크리니크 팔레트_1,베네피트 바)_0,베네피트 바)_1,더밤 팔레트_0,더밤 팔레트_1,톰포드 뷰티 일루미네이트_0,톰포드 뷰티 일루미네이트_1,더샘 팔레트_0,더샘 팔레트_1,투페이스드 팔레트_0,투페이스드 팔레트_1,정샘물 팔레트_0,정샘물 팔레트_1,베네피트 스쿼드_0,베네피트 스쿼드_1
28,52.45478,58.53658,0.0,0.0,41.46341,41.12903,34.75177,49.0566,24.42748,73.04347,0.0,0.0,54.21686,41.66666,0.0,0.0,0.0,0.0,31.11111,52.5,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,28.32446,50.23255,0.0,0.0,65.38461,65.51724,53.84615,35.84905,0.0,0.0,58.82352,38.88888,0.0,56.25,27.67295,61.15702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.73626,0.0,0.0,0.0,0.0,0.0,0.0,37.70491,74.68354,55.52486,24.6124,28.20512,45.45454,13.18681,0.0,0.0,0.0,20.22471,0.0,0.0,0.0,14.96062,0.0,45.27363,41.59482,43.47826,31.81818,0.0,0.0
29,48.57881,54.47154,0.0,0.0,39.83739,37.90322,25.53191,32.07547,25.76335,88.69565,0.0,0.0,33.73493,58.33333,0.0,0.0,0.0,0.0,57.77777,86.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.44503,54.4186,0.0,0.0,42.30769,44.82758,53.84615,37.73584,0.0,0.0,58.82352,55.55555,0.0,68.75,16.98113,48.76033,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,49.45054,0.0,0.0,0.0,0.0,0.0,0.0,24.59016,80.37974,55.52486,21.64082,17.94871,40.90909,24.17582,12.5,0.0,0.0,15.73033,0.0,0.0,0.0,16.53543,17.14285,47.51243,37.71551,21.73913,63.63636,0.0,0.0
30,49.8708,61.58536,0.0,0.0,55.28455,37.90322,39.00709,69.81132,30.15267,73.91304,41.66666,58.33333,66.26506,33.33333,0.0,0.0,0.0,0.0,46.66666,65.0,0.0,0.0,37.93103,0.0,0.0,0.0,0.0,0.0,69.41489,48.8372,0.0,0.0,38.46153,44.82758,46.15384,100.0,0.0,0.0,35.29411,27.77777,38.46153,31.25,20.75471,53.719,0.0,0.0,0.0,0.0,0.0,0.0,42.59259,53.84615,0.0,0.0,0.0,0.0,0.0,0.0,44.26229,84.81012,45.58011,22.15762,30.76923,72.72727,27.47252,0.0,0.0,0.0,12.35955,0.0,0.0,0.0,25.98425,54.28571,41.79104,49.56896,0.0,0.0,0.0,0.0
31,47.54521,59.14634,0.0,0.0,100.0,37.09677,100.0,33.96226,48.47328,62.60869,83.33333,41.66666,61.44578,41.66666,0.0,55.55555,0.0,0.0,31.11111,41.25,0.0,0.0,72.41379,0.0,0.0,0.0,0.0,0.0,100.0,55.34883,0.0,0.0,32.6923,68.96551,59.61538,77.35849,0.0,0.0,47.05882,33.33333,0.0,87.5,22.6415,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25.92592,63.73626,0.0,0.0,0.0,0.0,0.0,0.0,68.85245,100.0,43.09392,26.93798,30.76923,50.0,7.6923,15.0,0.0,0.0,17.97752,0.0,0.0,0.0,30.70866,100.0,61.69154,63.7931,30.43478,31.81818,0.0,0.0
32,54.78036,58.53658,0.0,0.0,47.15447,38.70967,75.1773,43.39622,52.67175,80.86956,66.66666,0.0,43.37349,31.25,0.0,0.0,0.0,0.0,42.22222,100.0,0.0,0.0,75.86206,0.0,0.0,0.0,0.0,0.0,84.66312,48.52713,0.0,0.0,51.92307,65.51724,57.6923,52.83018,0.0,0.0,47.05882,38.88888,0.0,93.75,15.72327,50.41322,0.0,0.0,0.0,0.0,0.0,100.0,20.37037,50.54945,0.0,0.0,100.0,0.0,0.0,0.0,26.2295,92.40506,48.61878,26.55038,25.64102,68.18181,13.18681,0.0,0.0,0.0,8.98876,0.0,0.0,0.0,23.62204,74.28571,50.24875,63.36206,60.86956,59.0909,0.0,0.0
33,54.26356,57.72357,0.0,0.0,34.95934,51.6129,55.31914,49.0566,63.35877,100.0,91.66666,41.66666,54.21686,47.91666,0.0,0.0,0.0,0.0,37.77777,58.75,0.0,0.0,41.37931,0.0,0.0,0.0,0.0,0.0,53.67907,49.92248,0.0,100.0,38.46153,55.17241,61.53846,56.60377,0.0,0.0,41.17647,0.0,0.0,43.75,15.72327,33.05785,0.0,0.0,0.0,0.0,0.0,0.0,12.96296,90.10989,0.0,0.0,0.0,0.0,0.0,0.0,39.34426,77.21518,53.03867,23.8372,46.15384,68.18181,16.48351,0.0,0.0,0.0,7.86516,0.0,0.0,0.0,16.53543,45.71428,47.51243,63.57758,82.60869,100.0,0.0,0.0
34,58.91472,65.04065,0.0,0.0,26.82926,43.54838,28.36879,62.26415,42.93893,73.04347,91.66666,0.0,39.75903,39.58333,0.0,55.55555,0.0,0.0,35.55555,63.75,0.0,0.0,37.93103,0.0,0.0,0.0,0.0,0.0,38.12056,50.07751,0.0,0.0,26.92307,100.0,51.92307,69.81132,0.0,0.0,29.41176,27.77777,0.0,68.75,11.94968,35.53719,0.0,0.0,0.0,0.0,0.0,0.0,61.11111,87.91208,0.0,0.0,0.0,0.0,0.0,0.0,47.54098,78.48101,45.30386,25.45219,48.71794,77.27272,10.98901,0.0,0.0,0.0,15.73033,0.0,0.0,0.0,16.53543,80.0,43.28358,86.63793,39.13043,68.18181,0.0,0.0
35,53.22997,57.11382,0.0,0.0,42.27642,37.09677,48.93617,58.49056,36.83206,70.43478,58.33333,0.0,34.93975,18.75,0.0,0.0,0.0,0.0,71.11111,48.75,0.0,0.0,62.06896,0.0,0.0,0.0,0.0,0.0,45.92198,51.93798,0.0,0.0,30.76923,62.06896,67.30769,67.92452,0.0,0.0,52.94117,27.77777,69.23076,43.75,30.81761,23.14049,0.0,0.0,0.0,0.0,0.0,0.0,18.51851,76.92307,0.0,0.0,0.0,0.0,0.0,0.0,54.09836,57.59493,56.35359,26.80878,33.33333,40.90909,23.07692,22.5,0.0,0.0,8.98876,0.0,0.0,0.0,19.68503,57.14285,43.28358,53.66379,95.65217,36.36363,0.0,0.0
36,52.45478,61.99186,0.0,0.0,29.26829,19.35483,49.64539,49.0566,40.07633,63.47826,0.0,0.0,21.68674,14.58333,100.0,0.0,0.0,0.0,57.77777,60.0,0.0,0.0,37.93103,0.0,0.0,0.0,0.0,0.0,33.02304,48.06201,0.0,0.0,34.61538,82.75862,63.46153,69.81132,0.0,0.0,47.05882,38.88888,0.0,0.0,40.25157,20.66115,0.0,0.0,0.0,0.0,0.0,0.0,24.07407,59.34065,0.0,0.0,0.0,0.0,0.0,0.0,67.21311,48.10126,49.17127,24.4832,46.15384,77.27272,19.78021,20.0,0.0,0.0,40.44943,0.0,0.0,0.0,24.40944,34.28571,36.06965,56.03448,100.0,40.90909,0.0,0.0
37,54.52196,60.1626,0.0,0.0,39.02439,23.38709,59.57446,56.60377,35.1145,63.47826,58.33333,41.66666,26.50602,27.08333,0.0,0.0,0.0,0.0,51.11111,61.25,0.0,0.0,24.13793,60.0,0.0,0.0,0.0,0.0,31.91489,46.04651,0.0,0.0,48.07692,82.75862,59.61538,58.49056,0.0,0.0,47.05882,44.44444,0.0,37.5,22.01257,22.31404,0.0,0.0,0.0,0.0,0.0,0.0,24.07407,79.12087,0.0,0.0,0.0,0.0,0.0,0.0,77.04918,42.40506,46.68508,26.35658,61.53846,50.0,23.07692,12.5,0.0,0.0,82.02247,0.0,0.0,0.0,31.49606,42.85714,29.85074,42.88793,47.82608,68.18181,0.0,0.0
