,뷰닉스 (sup-22)_0,뷰닉스 (sup-22)_1,다이소 4WAY네일버퍼(오목형)_0,다이소 4WAY네일버퍼(오목형)_1,다이소 파일_0,다이소 파일_1,위드샨 젤램프_0,위드샨 젤램프_1,다이소 네일푸셔&파일_0,다이소 네일푸셔&파일_1,위드샨 핀셋(무광블랙)_0,위드샨 핀셋(무광블랙)_1,위드샨 꾹꾹이_0,위드샨 꾹꾹이_1,이니스프리 보드_0,이니스프리 보드_1,이니스프리 젤램프_0,이니스프리 젤램프_1,젤라또팩토리 젤램프_0,젤라또팩토리 젤램프_1,더샘 푸셔_0,더샘 푸셔_1,필리밀리 버퍼_0,필리밀리 버퍼_1,스킨푸드 볼_0,스킨푸드 볼_1,필리밀리 (소)_0,필리밀리 (소)_1,네이처리퍼블릭 보드_0,네이처리퍼블릭 보드_1,위드샨 램프_0,위드샨 램프_1,미샤 푸셔_0,미샤 푸셔_1,시크릿데이 오버나이트_0,시크릿데이 오버나이트_1,화이트 오버나이트_0,화이트 오버나이트_1,한나 중형_0,한나 중형_1,좋은느낌오버나이트_0,좋은느낌오버나이트_1,암웨이 대형_0,암웨이 대형_1,미샤 여성청결제_0,미샤 여성청결제_1,플레이텍스 [수퍼]_0,플레이텍스 [수퍼]_1,프리메라 티슈_0,프리메라 티슈_1,프리메라 후리_0,프리메라 후리_1,질경이 중형_0,질경이 중형_1,애터미 대형_0,애터미 대형_1,쏘피 슈퍼롱_0,쏘피 슈퍼롱_1,유리아쥬 진-8_0,유리아쥬 진-8_1,위스퍼 대형_0,위스퍼 대형_1,애터미 중형_0,애터미 중형_1,데이위드 워시_0,데이위드 워시_1,아로마티카 여성청결제_0,아로마티카 여성청결제_1,사임당화장품 청결제_0,사임당화장품 청결제_1,올리브영 스팟패치_0,올리브영 스팟패치_1,이지덤뷰티 뷰티_0,이지덤뷰티 뷰티_1,더마리프트 패치_0,더마리프트 패치_1,엘라밴드 도트_0,엘라밴드 도트_1,3M 넥스케어™ 케어_0,3M 넥스케어™ 케어_1
27,0.0,0.0,0.0,0.0,45.28301,63.49206,57.4468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.22222,47.5,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,40.74074,39.10614,79.0,63.84615,0.0,0.0,75.07002,63.47031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,40.90909,0.0,0.0,0.0,0.0,42.03389,0.0,0.0,0.0,69.23076,55.55555,0.0,0.0,0.0,72.72727,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,40.25157,61.90476,59.57446,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.22222,57.5,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.96296,37.98882,60.0,98.46153,0.0,0.0,78.15126,57.53424,0.0,0.0,0.0,0.0,0.0,0.0,9.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,68.18181,0.0,0.0,0.0,0.0,48.13559,0.0,0.0,0.0,40.0,74.07407,0.0,0.0,85.71428,36.36363,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,38.99371,57.14285,63.82978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.22222,45.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.98148,26.81564,67.0,60.76923,0.0,0.0,88.23529,69.40639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0909,0.0,0.0,0.0,0.0,43.72881,0.0,0.0,0.0,63.07692,87.03703,0.0,0.0,50.0,77.27272,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,31.44654,50.79365,59.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,27.5,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.61111,36.8715,68.0,79.23076,0.0,0.0,78.15126,65.75342,0.0,0.0,13.51351,0.0,0.0,0.0,16.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,53.57142,40.90909,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,55.38461,96.29629,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,30.81761,41.26984,65.95744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,52.5,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.14814,24.581,54.0,81.53846,0.0,0.0,84.59383,57.53424,0.0,0.0,16.21621,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42857,86.36363,0.0,0.0,0.0,0.0,62.03389,0.0,0.0,0.0,69.23076,96.29629,0.0,0.0,71.42857,59.0909,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,22.6415,41.26984,70.21276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.77777,45.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.98148,34.63687,53.0,63.84615,0.0,0.0,81.79271,100.0,0.0,0.0,13.51351,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,68.18181,0.0,0.0,0.0,0.0,65.42372,0.0,0.0,0.0,70.76923,66.66666,0.0,0.0,42.85714,86.36363,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,29.55974,47.61904,29.78723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.66666,65.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.29629,45.81005,65.0,72.30769,0.0,0.0,77.87114,86.30136,0.0,0.0,0.0,0.0,0.0,0.0,30.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28571,31.81818,0.0,0.0,0.0,0.0,68.13559,0.0,0.0,0.0,66.15384,53.7037,0.0,0.0,64.28571,68.18181,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,35.22012,79.36507,82.97872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.44444,42.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.03703,34.63687,75.0,72.30769,0.0,0.0,85.99439,76.2557,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,50.0,0.0,0.0,0.0,0.0,28.13559,0.0,0.0,0.0,70.76923,55.55555,0.0,0.0,64.28571,50.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,55.97484,55.55555,29.78723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.22222,42.5,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.48148,41.89944,68.99999,76.15384,0.0,0.0,77.03081,72.14611,0.0,0.0,13.51351,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.11864,0.0,0.0,0.0,67.6923,51.85185,0.0,0.0,57.14285,68.18181,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,49.68553,46.03174,61.70212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,40.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.92592,31.28491,61.0,62.30769,0.0,0.0,66.66666,83.56164,0.0,0.0,0.0,71.42857,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,39.28571,54.54545,0.0,0.0,0.0,0.0,51.18644,0.0,0.0,0.0,66.15384,96.29629,0.0,0.0,35.71428,45.45454,0.0,0.0,0.0,0.0
