,렌즈미 그레이_0,렌즈미 그레이_1,렌즈미 쵸코_0,렌즈미 쵸코_1,알콘 워터렌즈_0,알콘 워터렌즈_1,쿠퍼비전 바이오피니티_0,쿠퍼비전 바이오피니티_1,쿠퍼비전 원데이_0,쿠퍼비전 원데이_1,아큐브 난시용_0,아큐브 난시용_1,알콘 아쿠아_0,알콘 아쿠아_1,아큐브 모이스트_0,아큐브 모이스트_1,아큐브 비타_0,아큐브 비타_1,아큐브 오아시스_0,아큐브 오아시스_1,오렌즈 퍼스파인_0,오렌즈 퍼스파인_1,아큐브 원데이_0,아큐브 원데이_1,클리어랩 원데이_0,클리어랩 원데이_1,쿠퍼비전 토릭_0,쿠퍼비전 토릭_1,렌즈미 클리어_0,렌즈미 클리어_1,다비치렌즈 3days_0,다비치렌즈 3days_1,쿠퍼비전 아바이라_0,쿠퍼비전 아바이라_1,프레쉬콘 데일리_0,프레쉬콘 데일리_1,알콘 플러스_0,알콘 플러스_1,알콘 익스프레스_0,알콘 익스프레스_1,알콘 리플레니시_0,알콘 리플레니시_1,알콘 퓨어모이스트_0,알콘 퓨어모이스트_1,바슈롬 렌즈관리용액_0,바슈롬 렌즈관리용액_1,드림아이 드롭드림아이2_0,드림아이 드롭드림아이2_1,바슈롬 클리너_0,바슈롬 클리너_1,오렌즈 습윤액_0,오렌즈 습윤액_1,상아제약 식염수_0,상아제약 식염수_1,퓨어클 습윤액_0,퓨어클 습윤액_1,드림아이 용액_0,드림아이 용액_1,아큐브 솔루션_0,아큐브 솔루션_1,아이메디슨 용액_0,아이메디슨 용액_1,바슈롬 심플러스_0,바슈롬 심플러스_1,중외제약sol._0,중외제약sol._1,메니콘 프로젠트_0,메니콘 프로젠트_1,알콘 케어_0,알콘 케어_1,메니콘 플러스_0,메니콘 플러스_1,메디케어 멀티액_0,메디케어 멀티액_1,중외제약드롭_0,중외제약드롭_1,샤넬 빠르펭_0,샤넬 빠르펭_1,필로소피 EDT_0,필로소피 EDT_1
32,63.38028,86.0,0.0,0.0,50.71428,69.98284,87.43455,98.56801,53.62318,54.11764,0.0,100.0,70.0,0.0,76.74418,38.61386,46.95945,28.15533,68.59813,65.09433,51.42857,12.7551,65.82278,57.74647,44.44444,58.53658,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,47.88732,70.0,0.0,0.0,51.19047,64.32246,98.95287,87.11217,47.82608,47.05882,0.0,76.47058,0.0,0.0,72.09302,26.73267,56.08108,20.9457,75.70093,70.44025,42.85714,16.83673,51.47679,57.74647,60.0,43.90243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,54.92957,50.0,0.0,0.0,45.95238,54.37392,74.34554,81.14558,60.86956,56.47058,0.0,52.28758,0.0,0.0,89.14728,30.69306,65.2027,23.12117,100.0,86.79245,42.85714,16.83673,66.24472,40.84507,51.11111,43.90243,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
35,38.02816,40.0,0.0,0.0,54.28571,52.14408,93.19371,85.91885,60.86956,57.64705,0.0,30.71895,100.0,0.0,86.04651,52.47524,59.12162,58.88169,64.01869,76.10062,65.71428,8.16326,54.85232,21.12676,51.11111,36.58536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,22.53521,64.0,0.0,0.0,46.19047,55.57461,96.85863,81.86157,52.17391,68.23529,0.0,31.37254,0.0,0.0,84.49612,59.40594,56.41891,100.0,67.85046,77.04402,37.14285,11.22448,55.27426,32.39436,53.33333,53.65853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,33.80281,38.0,0.0,0.0,59.04761,46.82675,72.2513,76.61097,57.97101,51.7647,0.0,35.94771,0.0,0.0,88.37209,46.53465,50.0,84.25026,67.28971,61.63522,51.42857,11.22448,54.85232,52.11267,48.88888,43.90243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,39.43661,56.0,0.0,0.0,58.80952,41.3379,91.09947,77.56563,57.97101,65.88235,0.0,29.41176,0.0,0.0,65.11627,30.69306,44.93243,85.04135,52.05607,72.6415,54.28571,8.67346,51.47679,54.92957,68.88888,39.02439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.81818,0.0,0.0
39,59.15492,74.0,0.0,0.0,82.85714,54.2024,92.67015,89.02147,52.17391,64.70588,0.0,19.60784,0.0,100.0,75.19379,12.87128,51.35135,91.13628,34.2056,71.69811,68.57142,8.16326,47.67932,59.15492,42.22222,41.46341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.16666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,45.07042,70.0,0.0,0.0,93.57142,47.85591,38.21989,74.70167,66.66666,77.64705,0.0,24.183,0.0,0.0,74.4186,34.65346,64.18918,83.26141,53.64485,75.47169,40.0,12.24489,48.5232,54.92957,68.88888,19.51219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.16666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.90909,0.0,0.0
41,29.57746,56.0,100.0,0.0,63.57142,47.51286,26.17801,68.49642,88.40579,47.05882,0.0,33.33333,0.0,0.0,76.74418,48.51485,60.13513,66.59475,48.69158,84.90566,51.42857,13.77551,83.96624,66.19718,86.66666,31.70731,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.16666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0
