,다이소 (대)_0,다이소 (대)_1,아리따움 브러시_0,아리따움 브러시_1,미샤 201_0,미샤 201_1,필리밀리 851_0,필리밀리 851_1,에코툴즈 브러시_0,에코툴즈 브러시_1,피카소 블러셔_0,피카소 블러셔_1,에코툴즈 세트_0,에코툴즈 세트_1,필리밀리 세트_0,필리밀리 세트_1,다이소 블렌딩총알브러시_0,다이소 블렌딩총알브러시_1,맥 브러시_0,맥 브러시_1,다이소 브러시_0,다이소 브러시_1,리얼 테크닉스 브러시_0,리얼 테크닉스 브러시_1,무인양품 브러시_0,무인양품 브러시_1,에뛰드 파우더_0,에뛰드 파우더_1,에스쁘아 블렌더_0,에스쁘아 블렌더_1,미샤 [밀착]_0,미샤 [밀착]_1,리얼 테크닉스 스펀지_0,리얼 테크닉스 스펀지_1,포니이펙트 퍼프_0,포니이펙트 퍼프_1,다이소 퍼프_0,다이소 퍼프_1,미샤 퍼프_0,미샤 퍼프_1,클리오 스폰지_0,클리오 스폰지_1,스킨푸드 퍼프_0,스킨푸드 퍼프_1,다이소 미니파우더퍼프_0,다이소 미니파우더퍼프_1,더샘 퍼프_0,더샘 퍼프_1,필리밀리 퍼프_0,필리밀리 퍼프_1,어퓨 퍼프_0,어퓨 퍼프_1,헤라 퍼프_0,헤라 퍼프_1,다이소 8개입_0,다이소 8개입_1,뷰티블렌더 싱글_0,뷰티블렌더 싱글_1,다이소 물방울퍼프_0,다이소 물방울퍼프_1,베네툴 스폰지_0,베네툴 스폰지_1,올리브영 촉촉퍼프_0,올리브영 촉촉퍼프_1,이마트 화장솜_0,이마트 화장솜_1,카이 눈썹칼_0,카이 눈썹칼_1,화이트래빗 타입_0,화이트래빗 타입_1,어퓨 솝_0,어퓨 솝_1,어퓨 빨래판_0,어퓨 빨래판_1,갸스비 페이퍼_0,갸스비 페이퍼_1,시루콧토 화장솜_0,시루콧토 화장솜_1,아리따움 내추럴_0,아리따움 내추럴_1
25,0.0,0.0,0.0,10.34482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888,0.0,28.57142,67.85714,0.0,0.0,0.0,0.0,45.93023,29.62962,8.28729,15.27777,0.0,0.0,0.0,0.0,42.30769,26.08695,66.89038,53.91498,40.39408,26.10837,0.0,0.0,80.31496,50.0,0.0,0.0,0.0,23.33333,0.0,45.18272,0.0,32.43243,36.9863,41.77215,0.0,0.0,0.0,0.0,33.80952,51.46666,0.0,0.0,91.66666,4.73484,25.21739,47.34299,51.16279,38.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.97744,68.30985,0.0,0.0
26,0.0,0.0,0.0,10.34482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,67.85714,0.0,0.0,0.0,0.0,36.04651,59.25925,3.8674,13.88888,0.0,0.0,0.0,27.77777,19.23076,21.73913,72.48322,55.92841,51.72413,47.29064,0.0,0.0,61.41732,50.0,0.0,0.0,61.53846,26.66666,0.0,40.19933,58.33333,35.13513,39.72602,58.22784,0.0,0.0,0.0,0.0,41.42857,65.86666,0.0,0.0,93.85964,3.40909,28.11594,42.99516,53.48837,38.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.92481,54.92957,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42857,78.57142,0.0,0.0,0.0,0.0,51.16279,44.44444,12.15469,19.44444,0.0,0.0,0.0,33.33333,0.0,30.43478,59.50782,51.23042,100.0,46.79802,0.0,0.0,66.14173,59.5238,0.0,0.0,46.15384,33.33333,0.0,41.19601,58.33333,21.62162,50.68493,58.22784,0.0,0.0,0.0,0.0,29.7619,62.13333,0.0,0.0,95.61403,3.0303,28.40579,35.74879,62.79069,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.05263,69.13145,0.0,0.0
28,0.0,0.0,0.0,8.62068,0.0,0.0,0.0,16.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,42.85714,89.28571,0.0,0.0,0.0,0.0,27.90697,44.44444,6.62983,12.5,0.0,0.0,0.0,27.77777,23.07692,30.43478,49.88814,55.70469,80.78817,52.21674,0.0,0.0,54.3307,75.0,0.0,0.0,0.0,20.0,0.0,40.19933,50.0,43.24324,56.16438,59.49367,0.0,0.0,0.0,0.0,28.57142,69.33333,0.0,0.0,100.0,3.59848,30.43478,56.03864,53.48837,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.39473,77.8169,0.0,0.0
29,0.0,0.0,0.0,0.0,64.70588,0.0,0.0,16.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,57.14285,0.0,0.0,0.0,0.0,18.02325,48.14814,5.52486,0.0,0.0,0.0,0.0,0.0,19.23076,56.52173,51.23042,67.11409,73.39901,40.39408,0.0,0.0,40.94488,82.14285,0.0,0.0,76.92307,33.33333,0.0,48.17275,0.0,32.43243,45.20547,59.49367,0.0,0.0,0.0,0.0,25.47619,88.26666,0.0,0.0,99.5614,2.8409,38.55072,49.75845,39.53488,36.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.65789,66.54929,0.0,0.0
30,0.0,0.0,0.0,12.06896,44.11764,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,53.57142,75.0,0.0,0.0,0.0,0.0,15.11627,55.55555,3.31491,9.72222,0.0,0.0,0.0,33.33333,19.23076,39.13043,51.00671,72.48322,67.98029,51.72413,0.0,0.0,51.1811,64.28571,0.0,0.0,0.0,23.33333,0.0,52.15946,41.66666,40.54054,47.9452,74.68354,0.0,0.0,0.0,0.0,25.23809,94.13333,0.0,0.0,81.57894,4.92424,40.28985,45.41062,44.18604,31.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,86.50234,0.0,0.0
31,0.0,0.0,0.0,0.0,100.0,0.0,73.07692,19.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,42.85714,96.42857,0.0,0.0,0.0,0.0,22.09302,53.7037,22.65193,16.66666,0.0,0.0,100.0,27.77777,0.0,65.21739,68.9038,56.59955,60.09852,100.0,0.0,0.0,55.11811,61.90476,0.0,0.0,0.0,26.66666,0.0,39.8671,41.66666,27.02702,27.39726,100.0,0.0,0.0,0.0,0.0,38.33333,92.26666,0.0,0.0,73.68421,3.0303,47.82608,31.88405,34.88372,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.19172,71.59624,0.0,0.0
32,0.0,0.0,0.0,0.0,14.70588,0.0,53.84615,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,64.28571,0.0,0.0,0.0,0.0,20.93023,100.0,6.07734,25.0,0.0,0.0,0.0,0.0,53.84615,60.86956,71.58836,43.40044,67.98029,80.78817,0.0,0.0,51.1811,52.38095,0.0,0.0,0.0,23.33333,0.0,41.86046,0.0,37.83783,36.9863,69.62025,0.0,0.0,0.0,0.0,25.47619,83.2,0.0,0.0,53.07017,4.92424,35.36231,26.08695,41.86046,31.66666,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,68.51503,91.78403,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,67.85714,67.85714,0.0,0.0,0.0,0.0,25.0,94.44444,11.04972,12.5,0.0,0.0,0.0,0.0,26.92307,39.13043,81.87919,57.71812,61.08374,73.39901,0.0,0.0,65.35433,55.95238,0.0,0.0,0.0,20.0,0.0,41.19601,0.0,75.67567,38.35616,49.36708,0.0,0.0,0.0,0.0,37.85714,82.4,0.0,0.0,50.43859,3.40909,60.0,40.09661,48.8372,28.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.64285,79.8122,0.0,0.0
34,0.0,0.0,46.66666,0.0,0.0,0.0,50.0,27.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.85714,89.28571,0.0,0.0,0.0,0.0,16.27906,75.92592,7.18232,9.72222,0.0,0.0,0.0,0.0,23.07692,21.73913,77.40492,55.70469,60.09852,67.98029,0.0,0.0,100.0,54.7619,0.0,0.0,0.0,33.33333,0.0,37.2093,0.0,97.29729,41.09589,40.50632,0.0,0.0,0.0,0.0,36.42857,65.33333,0.0,0.0,39.03508,3.59848,47.82608,32.85024,65.11627,23.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.95112,78.75586,0.0,0.0
