,이니스프리 왁스_0,이니스프리 왁스_1,새한화장품 휘니쉬_0,새한화장품 휘니쉬_1,마쉐리 EX_0,마쉐리 EX_1,지비에이치 코스메틱 미스트_0,지비에이치 코스메틱 미스트_1,루시도엘 수퍼하드_0,루시도엘 수퍼하드_1,포레스트 스토리 워터스프레이_0,포레스트 스토리 워터스프레이_1,러쉬 알앤비_0,러쉬 알앤비_1,폴미첼 스프레이_0,폴미첼 스프레이_1,네이처리퍼블릭 스프레이_0,네이처리퍼블릭 스프레이_1,TS TS착한헤어왁스_0,TS TS착한헤어왁스_1,에쏘띠 픽서_0,에쏘띠 픽서_1,다슈 스프레이_0,다슈 스프레이_1,착한팩토리 헤어픽서_0,착한팩토리 헤어픽서_1,아모스프로페셔널 스프레이_0,아모스프로페셔널 스프레이_1,세바스찬 텍스처라이저_0,세바스찬 텍스처라이저_1,아모스프로페셔널 왁스_0,아모스프로페셔널 왁스_1,아베다 크림_0,아베다 크림_1,러쉬 데이_0,러쉬 데이_1,웰라 프로페셔널즈 탈색제_0,웰라 프로페셔널즈 탈색제_1,로레알 프로페셔널 파리 쿨커버_0,로레알 프로페셔널 파리 쿨커버_1,로레알 프로페셔널 파리 염색약_0,로레알 프로페셔널 파리 염색약_1,마몽드 섀도우_0,마몽드 섀도우_1,사랑새 매니큐어_0,사랑새 매니큐어_1,리엔 염색_0,리엔 염색_1,더페이스샵 섀도우_0,더페이스샵 섀도우_1,헤이 헤어컬러_0,헤이 헤어컬러_1,더페이스샵 퍼프_0,더페이스샵 퍼프_1,웰라 프로페셔널즈 염모제_0,웰라 프로페셔널즈 염모제_1,토니모리 블리치_0,토니모리 블리치_1,아리따움 블리치_0,아리따움 블리치_1,페인토즈 페인트_0,페인토즈 페인트_1,려 헤어쿠션_0,려 헤어쿠션_1,시세이도 프로페셔널 스트레이트_0,시세이도 프로페셔널 스트레이트_1,에뛰드 컬러_0,에뛰드 컬러_1,네이처리퍼블릭 라이너_0,네이처리퍼블릭 라이너_1,셀리한센 블리치_0,셀리한센 블리치_1,로레알 파리 크림_0,로레알 파리 크림_1,웻브러쉬 브러쉬_0,웻브러쉬 브러쉬_1,탱글티저 오리지널_0,탱글티저 오리지널_1,아베다 브러시_0,아베다 브러시_1
52,10.16949,32.39436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,22.53521,58.62068,79.4063,76.01957,0.0,0.0,0.0,0.0,0.0,0.0,52.99539,92.38578,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,22.72727,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.65217,26.08695,0.0,0.0,100.0,100.0,55.02049,93.18181,0.0,0.0,36.66666,0.0,0.0,0.0,0.0,0.0,95.83333,63.63636,0.0,0.0,44.78527,16.87041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.81818,0.0,0.0,0.0,71.42857,35.71428,0.0,0.0
53,18.64406,12.67605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,60.0,15.49295,31.03448,66.97588,80.09787,0.0,0.0,0.0,0.0,0.0,0.0,63.13364,85.7868,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,40.90909,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7826,58.69565,0.0,0.0,50.0,53.84615,53.17622,61.36363,0.0,0.0,30.0,21.73913,0.0,0.0,0.0,0.0,62.5,45.45454,0.0,0.0,53.37423,13.8753,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,28.57142,0.0,0.0
54,8.47457,39.43661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.57894,0.0,12.67605,58.62068,66.60482,63.29526,0.0,0.0,0.0,0.0,0.0,100.0,49.76958,72.08121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.18181,68.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.21739,36.95652,0.0,0.0,0.0,0.0,51.12704,44.03409,0.0,0.0,43.33333,0.0,0.0,0.0,0.0,0.0,37.5,72.72727,0.0,0.0,91.41104,15.34229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,28.57142,39.28571,0.0,0.0
55,0.0,23.94366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.33333,18.30985,37.93103,83.67346,50.73409,0.0,0.0,0.0,0.0,0.0,0.0,48.84792,70.05076,0.0,0.0,0.0,72.72727,0.0,0.0,0.0,0.0,36.36363,93.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,36.95652,0.0,0.0,0.0,38.46153,54.20081,45.45454,0.0,0.0,46.66666,39.13043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.78527,14.24205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28571,32.14285,0.0,0.0
56,13.55932,23.94366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33333,16.9014,51.72413,92.02226,58.8907,0.0,0.0,0.0,0.0,0.0,0.0,61.75115,68.52791,0.0,55.55555,0.0,0.0,0.0,0.0,62.5,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.60869,30.43478,0.0,0.0,31.25,38.46153,48.9754,28.125,0.0,0.0,20.0,26.08695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.39877,19.13202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,32.14285,100.0,0.0,0.0
57,28.81355,40.84507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33333,19.7183,48.27586,84.78664,63.29526,0.0,0.0,0.0,0.0,0.0,0.0,47.46543,77.15736,70.0,88.88888,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7826,47.82608,0.0,0.0,0.0,0.0,52.56147,42.32954,0.0,0.0,40.0,26.08695,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,38.0368,18.8264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,100.0,35.71428,0.0,0.0
58,10.16949,25.35211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,19.7183,41.37931,84.97217,75.36704,0.0,0.0,0.0,0.0,0.0,0.0,47.92626,98.98477,0.0,88.88888,0.0,90.90909,0.0,0.0,0.0,71.42857,45.45454,46.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.47826,43.47826,0.0,0.0,0.0,69.23076,40.77868,38.63636,0.0,0.0,46.66666,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,56.44171,21.76039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,35.71428,25.0,0.0,0.0
59,16.94915,35.21126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.85915,31.03448,84.04452,77.48776,0.0,0.0,0.0,0.0,0.0,0.0,68.20276,92.38578,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,45.45454,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.82608,67.3913,0.0,0.0,0.0,0.0,35.75819,100.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,20.83333,63.63636,0.0,0.0,60.73619,15.89242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
60,18.64406,14.0845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8421,66.66666,14.0845,27.5862,73.65491,81.2398,0.0,0.0,0.0,0.0,33.33333,0.0,61.29032,74.11167,50.0,77.77777,0.0,63.63636,0.0,0.0,0.0,0.0,59.0909,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7826,60.86956,0.0,0.0,37.5,0.0,41.29098,64.48863,0.0,0.0,43.33333,21.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.43558,14.66992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,60.71428,0.0,0.0
61,46752,14195,81169,7393,110911,34355,5972,19380,90052,14765,2916,12264,8525,314094,12781,12747,1331,90052,917,558,5000,355,25173,3955,4306,4969,90052,24681,16757,2432,9787,20856,31187,22592,15117,1724744,850,8722,15267,270,270,278,134920,32180,841,10945,366293,35964,35005,214252,252225,392172,172544,1109,32159,41269,2603,21700,280480,5127,670,23347434,9795,112319,301025,60080,3060,1061,2548,44430,8836,193050,14006,4499,37,350,150643,24827,2576,502
