,아이캔디 브러쉬_0,아이캔디 브러쉬_1,올리브영 브러쉬_0,올리브영 브러쉬_1,다이소 브러쉬_0,다이소 브러쉬_1,에뛰드 헤어브러쉬_0,에뛰드 헤어브러쉬_1,올리브영 올리브영알루미늄헤어롤_0,올리브영 올리브영알루미늄헤어롤_1,웨이크메이크 글리터_0,웨이크메이크 글리터_1,오피아이 락커_0,오피아이 락커_1,에뛰드 네일_0,에뛰드 네일_1,더젤 젤네일_0,더젤 젤네일_1,디올 네일_0,디올 네일_1,샤넬 베르니_0,샤넬 베르니_1,스킨푸드 (푸르츠칵테일)_0,스킨푸드 (푸르츠칵테일)_1,어퓨 네일즈_0,어퓨 네일즈_1,아리따움 네일즈_0,아리따움 네일즈_1,더페이스샵 젤_0,더페이스샵 젤_1,웨이크메이크 네일건_0,웨이크메이크 네일건_1,캐시캣 코드네일_0,캐시캣 코드네일_1,이니스프리 네일_0,이니스프리 네일_1,데보라립만 네일폴리쉬_0,데보라립만 네일폴리쉬_1,미샤 폴리쉬_0,미샤 폴리쉬_1,유키 컬러_0,유키 컬러_1,엘르걸 네일즈_0,엘르걸 네일즈_1,스킨푸드 멜로우)_0,스킨푸드 멜로우)_1,더샘 탑코트_0,더샘 탑코트_1,이니스프리 탑코트_0,이니스프리 탑코트_1,세쉐 탑코트_0,세쉐 탑코트_1,스킨푸드 탑코트_0,스킨푸드 탑코트_1,오피아이 탑코트_0,오피아이 탑코트_1,웨이크메이크 탑코트_0,웨이크메이크 탑코트_1,다이소 탑코트_0,다이소 탑코트_1,미샤 [탑코트]_0,미샤 [탑코트]_1,아리따움 탑코트_0,아리따움 탑코트_1,오피아이 코트_0,오피아이 코트_1,GRACIA베이스젤_0,GRACIA베이스젤_1,아리따움 젤_0,아리따움 젤_1,이니스프리 코트_0,이니스프리 코트_1,네이처리퍼블릭 코트_0,네이처리퍼블릭 코트_1,에뛰드 코트_0,에뛰드 코트_1,셀리한센 탑코트_0,셀리한센 탑코트_1,토니모리 젤탑코트_0,토니모리 젤탑코트_1
38,63.13364,41.46341,41.01796,99.375,68.69118,62.36099,0.0,0.0,0.0,0.0,44.26229,50.0,0.0,0.0,44.68085,31.25,4.6875,63.0662,34.375,61.70212,0.0,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,36.36363,0.0,52.17391,52.17391,0.0,0.0,58.79396,14.38848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,11.32075,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,33.33333,42.30769,0.0,0.0,36.8421,56.45161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,62.67281,59.75609,43.41317,100.0,71.77074,60.30795,0.0,0.0,0.0,0.0,40.9836,68.0,0.0,0.0,46.80851,42.1875,3.125,89.54703,68.75,57.4468,42.85714,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,59.0909,23.80952,45.21739,61.5942,0.0,0.0,64.82412,11.2836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,50.0,12.26415,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,0.0,29.62962,53.84615,0.0,0.0,26.31578,62.90322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,58.98617,49.18699,39.52095,84.375,75.96236,59.53806,0.0,0.0,0.0,0.0,49.18032,80.0,0.0,0.0,31.91489,65.625,5.20833,68.98954,40.625,51.06382,28.57142,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,51.30434,50.0,0.0,0.0,78.89447,10.18553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,91.66666,6.60377,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,0.0,70.37037,32.6923,0.0,0.0,39.47368,51.6129,0.0,0.0,0.0,0.0,50.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,59.447,42.68292,41.01796,79.6875,64.41402,61.33447,0.0,0.0,0.0,0.0,52.45901,92.0,0.0,0.0,29.78723,45.3125,4.94791,68.64111,31.25,36.17021,52.38095,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.61904,55.65217,64.49275,0.0,0.0,57.78894,11.32146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,25.0,14.15094,0.0,83.33333,0.0,0.0,0.0,0.0,23.80952,0.0,70.37037,63.46153,0.0,0.0,23.68421,96.77419,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,71.42857,59.75609,32.63473,80.625,70.14542,42.42942,0.0,0.0,0.0,0.0,37.70491,68.0,0.0,0.0,53.19148,42.1875,2.60416,61.67247,43.75,48.93617,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,0.0,45.21739,44.20289,0.0,0.0,71.85929,13.97198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,13.20754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.25925,46.15384,0.0,0.0,42.10526,11.29032,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,63.13364,55.28455,31.43712,76.25,61.42001,39.26432,0.0,0.0,0.0,0.0,47.54098,58.0,0.0,0.0,42.55319,70.3125,7.03125,55.74912,56.25,40.42553,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.43478,73.91304,0.0,0.0,74.37185,9.50397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.83333,7.54716,0.0,0.0,0.0,0.0,0.0,0.0,47.61904,0.0,0.0,53.84615,0.0,0.0,36.8421,12.90322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,75.57603,60.5691,36.22754,78.125,64.84174,38.23781,0.0,0.0,0.0,0.0,45.90163,68.0,0.0,0.0,38.29787,20.3125,7.03125,60.9756,43.75,31.91489,52.38095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.3913,63.04347,0.0,0.0,91.45728,8.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,33.33333,8.49056,41.66666,0.0,0.0,0.0,0.0,0.0,28.57142,0.0,40.74074,28.84615,0.0,0.0,42.10526,14.51612,0.0,0.0,0.0,0.0,41.66666,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,58.52534,40.6504,44.91017,82.8125,60.13686,36.52694,0.0,0.0,0.0,0.0,36.06557,44.0,0.0,0.0,25.53191,51.5625,6.77083,71.42857,46.875,76.59574,28.57142,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,61.73913,47.10144,0.0,100.0,72.3618,8.29231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83333,11.32075,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,18.51851,51.92307,0.0,0.0,71.05263,11.29032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,100.0,54.06504,37.42514,77.1875,62.36099,40.11976,0.0,0.0,0.0,0.0,49.18032,52.0,0.0,0.0,31.91489,42.1875,5.20833,68.98954,34.375,44.68085,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.72727,28.57142,40.86956,52.89855,0.0,0.0,87.93969,8.74668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.16666,8.49056,0.0,0.0,0.0,0.0,0.0,0.0,47.61904,0.0,59.25925,51.92307,0.0,0.0,42.10526,8.06451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,60.36866,57.72357,36.82634,68.75,60.30795,53.72112,0.0,0.0,0.0,0.0,39.34426,44.0,0.0,0.0,36.17021,46.875,6.25,84.66898,43.75,38.29787,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,49.56521,48.55072,0.0,0.0,72.3618,24.23324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,50.0,13.20754,50.0,0.0,0.0,0.0,0.0,0.0,28.57142,0.0,40.74074,61.53846,0.0,0.0,94.73684,22.58064,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
