,XTM [SPF50+/PA++++]_0,XTM [SPF50+/PA++++]_1,랩시리즈 [SPF35/PA+++]_0,랩시리즈 [SPF35/PA+++]_1,BRTC 썬비비_0,BRTC 썬비비_1,블랙몬스터 밤_0,블랙몬스터 밤_1,보타닉힐 보 아이디얼 포 맨 쿠션_0,보타닉힐 보 아이디얼 포 맨 쿠션_1,그라펜 립_0,그라펜 립_1,아이오페 [SPF50+/PA+++]_0,아이오페 [SPF50+/PA+++]_1,닥터영 [SPF35/PA++]_0,닥터영 [SPF35/PA++]_1,블랙몬스터 [SPF50+/PA+++]_0,블랙몬스터 [SPF50+/PA+++]_1,낫츠 포맨_0,낫츠 포맨_1,더페이스샵 [SPF50+/PA+++]_0,더페이스샵 [SPF50+/PA+++]_1,챕스틱 [SPF15]_0,챕스틱 [SPF15]_1,니베아 맨 케어_0,니베아 맨 케어_1,디티알티 레디_0,디티알티 레디_1,닥터자르트 비비크림_0,닥터자르트 비비크림_1,엠솔릭 바디_0,엠솔릭 바디_1,헬로스킨 젤_0,헬로스킨 젤_1,엠솔릭 클렌저_0,엠솔릭 클렌저_1,랩시리즈 워시_0,랩시리즈 워시_1,이니스프리 폼_0,이니스프리 폼_1,불독 워시_0,불독 워시_1,비오템옴므 클렌저_0,비오템옴므 클렌저_1,스웨거 파이터_0,스웨거 파이터_1,시세이도 스크럽_0,시세이도 스크럽_1,아이소이 클렌징폼_0,아이소이 클렌징폼_1,프리메라 클렌저_0,프리메라 클렌저_1,빌리프 폼_0,빌리프 폼_1,비오템옴므 클렌져_0,비오템옴므 클렌져_1,홍콩시티팝 클렌저_0,홍콩시티팝 클렌저_1,키엘 멀티-젤_0,키엘 멀티-젤_1,시세이도 클렌저_0,시세이도 클렌저_1,보닌 폼_0,보닌 폼_1,니베아 맨 폼_0,니베아 맨 폼_1,불독 젤_0,불독 젤_1,비오템옴므 쉐이브_0,비오템옴므 쉐이브_1,니베아 맨 젤_0,니베아 맨 젤_1,러쉬 프린스_0,러쉬 프린스_1,젠틀프로젝트 오일_0,젠틀프로젝트 오일_1,니베아 맨 로션_0,니베아 맨 로션_1,질레트 크림_0,질레트 크림_1
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.57983,79.7183,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,26.53061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.78723,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.38655,67.04225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.92307,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,46.93877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,0.0,100.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.06722,58.30985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.07692,20.83333,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,60.0,36.73469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.43478,91.48936,0.0,0.0,0.0,0.0,83.33333,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.35294,56.05633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83333,0.0,0.0,0.0,27.77777,0.0,0.0,0.0,0.0,45.71428,51.0204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.60869,68.0851,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.94957,58.87323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.61538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.28571,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7826,19.14893,0.0,0.0,42.85714,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.2605,58.87323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.92307,20.83333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.71428,46.93877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.04255,0.0,0.0,100.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.62184,51.83098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.47826,38.29787,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.18487,57.46478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,29.16666,0.0,0.0,0.0,27.77777,0.0,0.0,0.0,0.0,45.71428,26.53061,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.04255,0.0,0.0,35.71428,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,58.59154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.61538,0.0,0.0,0.0,0.0,38.88888,0.0,0.0,0.0,0.0,47.14285,18.36734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.65957,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.23529,42.25352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.17021,0.0,0.0,0.0,0.0,0.0,0.0
