,카멕스 단지형_0,카멕스 단지형_1,웨이크메이크 라이너_0,웨이크메이크 라이너_1,비오엠 아이라이너_0,비오엠 아이라이너_1,키스미 킵_0,키스미 킵_1,에스쁘아 펜슬_0,에스쁘아 펜슬_1,클리오 라이너_0,클리오 라이너_1,베르사유의장미아이라이너_0,베르사유의장미아이라이너_1,프로에잇청담 라이너_0,프로에잇청담 라이너_1,키스미 아이라이너_0,키스미 아이라이너_1,베르사유의장미브라운_0,베르사유의장미브라운_1,삐아 슬림_0,삐아 슬림_1,케이트 펜슬_0,케이트 펜슬_1,릴리바이레드 아이라이너_0,릴리바이레드 아이라이너_1,클리오 XP_0,클리오 XP_1,페어리드롭스 워터프루프_0,페어리드롭스 워터프루프_1,머지 아이라이너_0,머지 아이라이너_1,더샘 아이라이너_0,더샘 아이라이너_1,fmgt 라이너_0,fmgt 라이너_1,KVD 비건뷰티 라이너_0,KVD 비건뷰티 라이너_1,돌리윙크 아이라이너Ⅱ_0,돌리윙크 아이라이너Ⅱ_1,손앤박 라이너_0,손앤박 라이너_1,슈에무라 포뮬라_0,슈에무라 포뮬라_1,아나스타샤 베버리힐즈 위즈_0,아나스타샤 베버리힐즈 위즈_1,아이돈띵쏘 펜슬_0,아이돈띵쏘 펜슬_1,아리따움 케익_0,아리따움 케익_1,베네피트 펜슬_0,베네피트 펜슬_1,라네즈 쿠션-카라_0,라네즈 쿠션-카라_1,클리오 펜슬_0,클리오 펜슬_1,키스미 아이브로우_0,키스미 아이브로우_1,아나스타샤 베버리힐즈 포마드_0,아나스타샤 베버리힐즈 포마드_1,아이오페 펜슬_0,아이오페 펜슬_1,바비브라운 펜슬_0,바비브라운 펜슬_1,미샤 브로우_0,미샤 브로우_1,우드버리 아이브로우_0,우드버리 아이브로우_1,바비브라운 쉐이퍼_0,바비브라운 쉐이퍼_1,맥 세트_0,맥 세트_1,키스미 노즈섀도우_0,키스미 노즈섀도우_1,스킨푸드 파우더케익_0,스킨푸드 파우더케익_1,베네피트 브로우_0,베네피트 브로우_1,클리오 하드펜슬_0,클리오 하드펜슬_1
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.92307,94.44444,84.21052,52.38095,41.66666,17.81609,0.0,0.0,73.40889,81.72661,0.0,0.0,0.0,100.0,50.0,0.0,65.21739,36.91366,42.30769,52.94117,0.0,0.0,69.10935,36.57534,54.96688,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,40.0,59.25925,51.95195,65.07936,0.0,0.0,0.0,0.0,43.33333,43.75,0.0,0.0,56.85483,64.54545,0.0,0.0,50.0,39.47368,0.0,0.0,0.0,85.71428,14.44759,36.75213,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.07692,33.33333,100.0,61.90476,70.83333,39.65517,0.0,0.0,67.9163,73.81294,0.0,0.0,0.0,0.0,0.0,70.0,67.24637,34.19442,42.30769,0.0,0.0,0.0,55.35512,37.26027,32.45033,56.33946,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75,27.77777,0.0,0.0,85.0,44.44444,68.46846,65.60846,0.0,0.0,0.0,71.42857,23.33333,43.75,0.0,54.54545,53.62903,75.45454,0.0,0.0,45.0,15.78947,38.46153,0.0,0.0,85.71428,16.43059,34.18803,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.92307,55.55555,78.94736,28.57142,25.0,17.81609,0.0,0.0,82.30165,68.05755,0.0,0.0,0.0,0.0,0.0,0.0,60.86956,32.08701,34.61538,0.0,0.0,0.0,45.3213,28.63013,38.41059,83.84458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,33.33333,0.0,0.0,0.0,29.62962,57.95795,74.60317,0.0,0.0,71.42857,0.0,43.33333,100.0,37.5,45.45454,59.27419,78.18181,45.45454,0.0,35.0,26.31578,53.84615,0.0,38.46153,0.0,24.3626,26.49572,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,47.36842,47.61904,37.5,20.68965,0.0,0.0,48.73583,60.43165,0.0,0.0,0.0,0.0,0.0,0.0,61.15942,29.91162,38.46153,0.0,0.0,0.0,65.8399,31.36986,47.68211,80.16359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,27.77777,0.0,0.0,30.0,44.44444,72.07207,76.71957,0.0,0.0,0.0,0.0,30.0,46.875,43.75,45.45454,51.6129,79.0909,0.0,0.0,45.0,21.05263,0.0,0.0,0.0,0.0,40.50991,36.75213,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.76923,72.22222,47.36842,28.57142,66.66666,26.43678,0.0,0.0,57.36704,59.13669,0.0,0.0,0.0,0.0,0.0,70.0,75.36231,29.9796,26.92307,41.17647,0.0,0.0,48.81623,40.27397,34.43708,74.43762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,40.0,33.33333,46.54654,73.54497,0.0,0.0,0.0,0.0,53.33333,21.875,0.0,72.72727,50.0,100.0,0.0,0.0,0.0,28.94736,0.0,0.0,0.0,0.0,32.01133,28.20512,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777,63.15789,33.33333,70.83333,11.49425,0.0,0.0,52.65911,57.98561,0.0,0.0,66.66666,0.0,0.0,60.0,61.5942,32.8348,30.76923,0.0,0.0,0.0,53.10033,40.68493,27.15231,73.92638,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,55.0,33.33333,57.05705,59.78835,0.0,0.0,0.0,0.0,76.66666,40.625,0.0,54.54545,43.54838,75.45454,0.0,0.0,0.0,28.94736,0.0,0.0,0.0,0.0,43.05949,31.62393,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,100.0,23.80952,33.33333,9.1954,0.0,0.0,56.14646,66.18705,0.0,0.0,0.0,0.0,0.0,0.0,63.91304,27.26036,38.46153,41.17647,0.0,0.0,50.1691,41.36986,42.3841,64.82617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,35.0,48.14814,53.75375,44.44444,0.0,0.0,0.0,0.0,43.33333,71.875,31.25,72.72727,45.16129,70.0,0.0,0.0,25.0,34.21052,0.0,0.0,38.46153,0.0,37.67705,39.31623,0.0,0.0
28,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,57.89473,28.57142,54.16666,27.5862,0.0,0.0,69.83435,61.72661,0.0,0.0,66.66666,0.0,50.0,0.0,65.07246,26.17267,65.38461,35.29411,0.0,0.0,49.15445,46.30136,39.07284,42.94478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75,0.0,0.0,0.0,65.0,40.74074,46.24624,70.89947,0.0,0.0,0.0,0.0,26.66666,25.0,0.0,0.0,62.09677,67.27272,45.45454,0.0,40.0,44.73684,0.0,0.0,0.0,0.0,52.40793,38.88888,0.0,0.0
29,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,95.23809,70.83333,14.36781,0.0,0.0,75.32693,61.58273,0.0,0.0,0.0,0.0,0.0,0.0,61.15942,30.11556,65.38461,0.0,0.0,0.0,60.09019,47.39726,27.15231,39.4683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,33.33333,0.0,0.0,65.0,48.14814,46.24624,60.31746,0.0,0.0,0.0,0.0,16.66666,46.875,0.0,45.45454,50.40322,56.36363,0.0,0.0,45.0,42.10526,46.15384,0.0,38.46153,0.0,41.64305,29.05982,0.0,0.0
30,0.0,0.0,46.66666,0.0,0.0,0.0,0.0,0.0,23.07692,55.55555,26.31578,71.42857,0.0,22.9885,0.0,0.0,73.14734,56.97841,0.0,0.0,77.77777,0.0,0.0,0.0,65.21739,28.82392,26.92307,47.05882,0.0,0.0,77.45208,35.20547,63.57615,32.71983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,0.0,0.0,0.0,30.0,25.92592,43.84384,64.02116,0.0,0.0,0.0,0.0,66.66666,31.25,56.25,0.0,41.93548,85.45454,0.0,0.0,0.0,44.73684,46.15384,66.66666,0.0,71.42857,40.22662,32.47863,0.0,0.0
