,닥터원더 원더패치_0,닥터원더 원더패치_1,닥터벨머 키트_0,닥터벨머 키트_1,신신제약밴드_0,신신제약밴드_1,VT COSMETICS 패치_0,VT COSMETICS 패치_1,휴족시간쿨링시트_0,휴족시간쿨링시트_1,올리브영 휴족휴면_0,올리브영 휴족휴면_1,아시리라 수액시트_0,아시리라 수액시트_1,티피오 알패치_0,티피오 알패치_1,멕리듬 아이마스크_0,멕리듬 아이마스크_1,메디테라피 패치_0,메디테라피 패치_1,일리윤 아이워머_0,일리윤 아이워머_1,스팀베이스 아이마스크_0,스팀베이스 아이마스크_1,하루온아이워머_0,하루온아이워머_1,슬로우랩 꿀잠안대_0,슬로우랩 꿀잠안대_1,일동제약 휴식시간_0,일동제약 휴식시간_1,씨엔에스글로벌 아이마스크_0,씨엔에스글로벌 아이마스크_1,누뉴 온열안대_0,누뉴 온열안대_1,아이러버쿨링풋_0,아이러버쿨링풋_1,아이스펌킨 종아리패치_0,아이스펌킨 종아리패치_1,에뛰드 마스크_0,에뛰드 마스크_1,파머메이커 팩_0,파머메이커 팩_1,어퓨 마스크_0,어퓨 마스크_1,메디힐리 아이온팩_0,메디힐리 아이온팩_1,덴티스테 스프레이_0,덴티스테 스프레이_1,테라브레스 민트_0,테라브레스 민트_1,가그린 제로_0,가그린 제로_1,덴티스테 치약_0,덴티스테 치약_1,가그린 오리지널_0,가그린 오리지널_1,리스테린 마일드_0,리스테린 마일드_1,덴티스테 케어_0,덴티스테 케어_1,암웨이 치약_0,암웨이 치약_1,오랄비 민트_0,오랄비 민트_1,2080치약_0,2080치약_1,애터미 플러스_0,애터미 플러스_1,페리오 스프레이_0,페리오 스프레이_1,아조나 치약_0,아조나 치약_1,닥터폴스 치약_0,닥터폴스 치약_1,페리오 민트]_0,페리오 민트]_1,베러데이 치약_0,베러데이 치약_1,애터미 칫솔_0,애터미 칫솔_1
14,0.0,64.20626,0.0,0.0,0.0,0.0,0.0,0.0,54.16666,36.17021,0.0,43.10344,36.76731,61.5894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.91304,4.87804,50.0,0.0,42.10526,24.5283,0.0,0.0,0.0,0.0,0.0,26.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.19512,15.65934,14.565,0.0,0.0,44.11764,66.75126,50.8591,15.79569,62.02531,71.42857,19.23076,100.0,0.0,0.0,96.99934,75.41547,0.0,0.0,81.36645,64.54081,0.0,0.0,66.66666,66.66666,75.67567,80.83209,61.32075,62.12121,0.0,0.0,0.0,0.0,61.53846,39.86013
15,0.0,59.95955,0.0,100.0,0.0,0.0,0.0,0.0,0.0,59.57446,0.0,32.75862,42.80639,74.17218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.04347,3.83275,27.27272,0.0,23.68421,9.43396,0.0,0.0,0.0,0.0,0.0,44.44444,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.26829,13.46153,17.49755,0.0,0.0,33.33333,65.98984,50.42955,17.99479,37.97468,65.07936,73.07692,46.42857,0.0,0.0,87.99739,84.69914,0.0,0.0,76.70807,55.10204,0.0,0.0,50.0,50.0,78.13267,72.9569,45.28301,69.69696,0.0,0.0,0.0,0.0,55.02958,52.7972
16,0.0,61.47623,0.0,0.0,0.0,0.0,0.0,0.0,29.16666,31.91489,0.0,59.48275,42.09591,74.17218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.17391,3.13588,68.18181,0.0,34.21052,22.6415,0.0,0.0,0.0,0.0,0.0,15.55555,53.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.26829,24.17582,15.24926,0.0,0.0,32.02614,54.06091,48.06701,16.26862,54.43037,39.68253,50.0,92.85714,0.0,0.0,93.99869,89.45558,0.0,0.0,66.77018,64.03061,0.0,0.0,58.33333,0.0,75.79852,77.11738,29.24528,69.69696,0.0,0.0,0.0,0.0,71.59763,72.02797
17,0.0,54.39838,0.0,0.0,0.0,0.0,0.0,0.0,20.83333,46.80851,0.0,47.41379,42.80639,61.5894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.30434,5.57491,90.90909,0.0,47.36842,22.6415,0.0,0.0,0.0,0.0,0.0,28.88888,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.90243,19.50549,14.17399,0.0,0.0,41.83006,62.69035,43.04123,14.8262,48.10126,20.63492,38.46153,89.28571,0.0,0.0,70.97195,86.87679,0.0,0.0,55.90062,87.7551,0.0,0.0,50.0,0.0,57.1253,61.66419,23.5849,63.63636,0.0,0.0,0.0,0.0,77.81065,64.16083
18,0.0,52.0728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.55319,0.0,63.7931,37.30017,60.2649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.13043,4.18118,68.18181,0.0,86.8421,9.43396,90.90909,0.0,0.0,0.0,0.0,51.11111,78.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.82926,13.73626,13.09872,0.0,0.0,54.24836,68.52791,78.56529,14.58973,41.77215,44.44444,53.84615,32.14285,0.0,0.0,58.64318,78.96848,0.0,0.0,73.29192,62.24489,0.0,0.0,0.0,50.0,62.77641,72.51114,17.92452,53.0303,0.0,0.0,0.0,0.0,71.89349,63.81118
19,0.0,50.455,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,46.80851,0.0,29.31034,34.99111,63.57615,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,54.7826,6.96864,42.42424,0.0,47.36842,24.5283,0.0,0.0,0.0,0.0,0.0,51.11111,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.39024,16.20879,16.12903,0.0,0.0,50.65359,45.93908,47.93814,13.41924,54.43037,57.14285,38.46153,96.42857,0.0,0.0,70.38486,83.61031,0.0,0.0,81.98757,68.36734,0.0,0.0,0.0,50.0,80.34398,83.06092,22.6415,59.0909,0.0,0.0,0.0,0.0,72.4852,67.13286
20,0.0,61.77957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.42553,0.0,29.31034,41.56305,74.17218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.60869,12.54355,68.18181,61.11111,28.94736,0.0,0.0,0.0,0.0,0.0,0.0,37.77777,53.57142,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,21.95121,15.38461,13.97849,0.0,0.0,41.17647,43.65482,59.10652,17.179,53.16455,71.42857,30.76923,57.14285,0.0,0.0,84.54011,64.24068,0.0,0.0,72.98136,70.91836,0.0,0.0,100.0,66.66666,77.02702,90.63893,19.81132,62.12121,0.0,0.0,0.0,0.0,68.93491,51.04895
21,0.0,60.56622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.19148,0.0,36.20689,43.69449,41.0596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.08695,10.45296,90.90909,0.0,21.05263,0.0,0.0,0.0,0.0,0.0,0.0,40.0,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.26829,12.08791,15.34701,0.0,100.0,36.9281,45.93908,50.04295,15.20454,36.70886,38.09523,23.07692,32.14285,0.0,0.0,91.78082,60.40114,0.0,0.0,83.22981,75.5102,0.0,0.0,83.33333,0.0,85.50368,84.39821,24.5283,86.36363,0.0,0.0,0.0,0.0,68.93491,49.82517
22,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.31914,0.0,37.93103,42.80639,52.31788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.43478,16.3763,63.63636,33.33333,21.05263,11.32075,0.0,0.0,0.0,0.0,0.0,31.11111,60.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.19512,25.27472,25.31769,0.0,0.0,34.96732,61.67512,82.90378,30.40908,29.11392,39.68253,61.53846,64.28571,0.0,0.0,87.86692,68.48137,0.0,0.0,91.30434,66.32653,0.0,0.0,0.0,58.33333,84.27518,72.36255,20.75471,51.51515,0.0,0.0,0.0,0.0,62.72189,50.0
23,0.0,73.6097,0.0,0.0,0.0,0.0,0.0,0.0,25.0,80.85106,0.0,50.0,36.23445,61.5894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.13043,10.80139,36.36363,0.0,47.36842,9.43396,0.0,0.0,0.0,0.0,0.0,40.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.95121,17.30769,18.37732,0.0,0.0,36.6013,56.59898,61.76975,16.39867,29.11392,61.90476,73.07692,78.57142,0.0,0.0,85.38812,75.07163,0.0,0.0,79.19254,77.29591,0.0,0.0,0.0,0.0,67.56756,78.60326,26.41509,87.87878,0.0,0.0,0.0,0.0,71.89349,77.62237
24,0.0,67.44186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.61702,0.0,39.65517,35.87921,80.7947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.73913,6.96864,65.15151,0.0,23.68421,11.32075,0.0,0.0,0.0,0.0,0.0,37.77777,60.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.95121,19.78021,16.03128,0.0,0.0,68.95424,49.74619,51.2457,14.0104,53.16455,50.79365,38.46153,53.57142,0.0,0.0,67.64514,75.93123,0.0,0.0,52.48447,82.39795,0.0,0.0,0.0,0.0,59.70515,70.72808,16.98113,83.33333,0.0,0.0,0.0,0.0,85.2071,74.47552
