,코스알엑스 토너_0,코스알엑스 토너_1,더랩 바이 블랑두 패드_0,더랩 바이 블랑두 패드_1,프레쥬 토너_0,프레쥬 토너_1,스팀베이스 패드_0,스팀베이스 패드_1,더모테라피 토너_0,더모테라피 토너_1,홀리카홀리카 패드_0,홀리카홀리카 패드_1,오휘 소프너_0,오휘 소프너_1,시드물 토너_0,시드물 토너_1,바디버든프로젝트 패드_0,바디버든프로젝트 패드_1,언파코스메틱 시카토너_0,언파코스메틱 시카토너_1,더마토리 보습패드_0,더마토리 보습패드_1,프리메라 워터_0,프리메라 워터_1,브링그린 스킨_0,브링그린 스킨_1,미샤 스킨_0,미샤 스킨_1,아이소이 (각질파토)_0,아이소이 (각질파토)_1,이퀄베리 토너_0,이퀄베리 토너_1,비플랫 토너_0,비플랫 토너_1,토니모리 토너_0,토니모리 토너_1,얼트루 토너_0,얼트루 토너_1,보타니티 부스터_0,보타니티 부스터_1,에스트라 로션_0,에스트라 로션_1,제로이드 로션_0,제로이드 로션_1,피지오겔 로션_0,피지오겔 로션_1,유리프 에멀전_0,유리프 에멀전_1,라포티셀 플루이드_0,라포티셀 플루이드_1,빌리프 모이스트_0,빌리프 모이스트_1,빌리프 밸런싱_0,빌리프 밸런싱_1,킵쿨 로션_0,킵쿨 로션_1,한율 플루이드_0,한율 플루이드_1,제로이드 수딩로션_0,제로이드 수딩로션_1,닥터벨머 모이스처라이저_0,닥터벨머 모이스처라이저_1,잇퍼 에멀젼_0,잇퍼 에멀젼_1,닥터뉴엘 로센스_0,닥터뉴엘 로센스_1,Dr.G 플루이드_0,Dr.G 플루이드_1,셀라피 로션_0,셀라피 로션_1,홀리카홀리카 에멀젼_0,홀리카홀리카 에멀젼_1,이니스프리 로션_0,이니스프리 로션_1,싸이닉 로션_0,싸이닉 로션_1,설화수 명의본초앰플_0,설화수 명의본초앰플_1,홀리카홀리카 세럼_0,홀리카홀리카 세럼_1
10,13.40206,34.21052,2.15517,63.38028,10.20408,18.94736,0.0,0.0,3.56371,0.75593,0.0,45.45454,0.0,0.0,81.25,33.33333,0.0,0.0,0.0,0.0,34.88372,17.85714,40.0,100.0,0.0,0.0,31.57894,15.49295,0.0,0.0,0.0,0.0,0.0,0.0,61.32075,100.0,0.0,0.0,0.0,0.0,20.93023,30.76923,39.02439,46.73539,68.17073,44.21052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,25.80645,63.63636,67.43295,19.36056,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,8.69565,0.0,0.0,43.66197,32.02247,0.0,96.0,25.0,0.0,0.0,0.0
11,15.46391,32.89473,2.5862,46.47887,0.0,9.47368,0.0,0.0,2.59179,2.15982,71.42857,0.0,0.0,0.0,46.875,51.85185,0.0,0.0,0.0,0.0,18.60465,0.0,66.66666,50.0,0.0,0.0,29.82456,9.85915,0.0,0.0,0.0,0.0,0.0,0.0,63.20754,83.76068,0.0,0.0,0.0,0.0,13.95348,43.58974,32.52032,59.45017,61.82926,39.72299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.33333,74.19354,30.30303,57.08812,16.87388,23.07692,75.0,0.0,0.0,0.0,0.0,0.0,0.0,39.13043,10.86956,0.0,0.0,55.86854,36.79775,0.0,42.0,57.14285,70.58823,0.0,0.0
12,14.43298,26.31578,3.01724,58.4507,30.61224,28.94736,0.0,0.0,1.07991,1.40388,0.0,0.0,0.0,0.0,71.875,59.25925,0.0,0.0,0.0,0.0,15.11627,0.0,66.66666,0.0,0.0,0.0,38.59649,11.73708,0.0,0.0,0.0,0.0,0.0,0.0,77.35849,58.11965,0.0,0.0,0.0,0.0,25.58139,51.28205,45.52845,68.38487,52.43902,43.04709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,56.45161,21.21212,72.41379,22.73534,35.89743,75.0,0.0,0.0,0.0,0.0,0.0,0.0,39.13043,9.7826,0.0,0.0,52.11267,36.79775,0.0,60.0,64.28571,82.35294,0.0,0.0
13,10.30927,42.10526,3.44827,60.56338,0.0,30.0,0.0,0.0,1.1879,0.86393,71.42857,63.63636,0.0,0.0,68.75,48.14814,0.0,0.0,0.0,0.0,9.30232,0.0,100.0,0.0,0.0,0.0,33.33333,20.65727,0.0,0.0,0.0,0.0,0.0,0.0,56.60377,76.92307,0.0,0.0,0.0,54.54545,23.25581,17.94871,47.96747,65.97938,70.2439,55.34626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.66666,74.19354,27.27272,72.03065,30.10657,41.02564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.52173,0.0,0.0,0.0,52.58215,35.11235,11.4754,72.0,46.42857,0.0,0.0,0.0
14,12.37113,75.0,6.46551,54.92957,0.0,16.31578,0.0,0.0,1.83585,1.07991,0.0,0.0,0.0,0.0,68.75,77.77777,0.0,0.0,0.0,0.0,13.95348,0.0,66.66666,50.0,0.0,0.0,36.8421,6.57276,0.0,0.0,0.0,0.0,0.0,0.0,50.94339,66.66666,0.0,0.0,0.0,0.0,39.53488,43.58974,96.74796,54.29553,92.43902,43.10249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,100.0,24.24242,64.75095,41.91829,20.51282,62.5,0.0,0.0,0.0,0.0,0.0,0.0,73.91304,5.43478,0.0,0.0,50.70422,35.95505,0.0,48.0,60.71428,35.29411,0.0,0.0
15,16.49484,47.36842,3.87931,45.77464,10.20408,14.73684,0.0,0.0,0.86393,2.15982,0.0,0.0,0.0,0.0,56.25,37.03703,0.0,0.0,0.0,0.0,25.58139,0.0,33.33333,50.0,0.0,0.0,19.29824,8.92018,0.0,0.0,0.0,0.0,0.0,0.0,64.15094,100.0,0.0,0.0,0.0,0.0,37.2093,35.89743,95.93495,52.57731,83.65853,39.33518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,64.51612,66.66666,67.81609,38.54351,23.07692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.82608,11.95652,0.0,0.0,82.6291,100.0,9.83606,76.0,50.0,52.94117,0.0,0.0
16,36.08247,46.05263,2.15517,48.59154,0.0,10.52631,0.0,0.0,2.91576,3.13174,0.0,0.0,0.0,0.0,31.25,22.22222,0.0,0.0,0.0,0.0,9.30232,0.0,0.0,0.0,0.0,0.0,24.5614,14.55399,0.0,0.0,0.0,0.0,0.0,0.0,46.22641,86.32478,0.0,0.0,0.0,0.0,39.53488,64.10256,86.99186,40.54982,85.4878,30.74792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.66666,48.38709,0.0,64.36781,37.12255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.43478,0.0,0.0,0.0,64.31924,58.14606,0.0,72.0,32.14285,52.94117,0.0,0.0
17,20.61855,47.36842,3.44827,62.67605,10.20408,16.8421,0.0,0.0,1.29589,3.02375,0.0,0.0,0.0,0.0,31.25,40.74074,0.0,0.0,0.0,0.0,13.95348,0.0,40.0,0.0,0.0,0.0,61.4035,12.67605,0.0,0.0,0.0,0.0,0.0,0.0,45.28301,61.53846,0.0,0.0,0.0,54.54545,18.60465,69.23076,95.12195,34.36426,81.09756,30.47091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.66666,93.54838,21.21212,53.2567,33.39253,23.07692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7826,6.52173,0.0,0.0,58.21596,49.4382,0.0,81.99999,96.42857,58.82352,0.0,33.64485
18,18.5567,34.21052,0.0,54.22535,97.95918,18.42105,0.0,0.0,0.75593,5.18358,0.0,0.0,0.0,0.0,62.5,59.25925,0.0,0.0,0.0,0.0,11.6279,25.0,46.66666,0.0,0.0,0.0,98.24561,18.77934,0.0,0.0,0.0,0.0,0.0,0.0,46.22641,76.92307,0.0,0.0,0.0,0.0,20.93023,41.02564,74.79674,23.36769,80.0,30.74792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.66666,29.03225,57.57575,61.30268,29.4849,15.38461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,20.65217,0.0,0.0,67.60563,66.57303,0.0,64.0,71.42857,52.94117,0.0,31.7757
19,21.64948,28.94736,3.01724,65.49295,30.61224,16.31578,0.0,100.0,2.15982,5.39956,0.0,0.0,0.0,0.0,53.125,100.0,0.0,0.0,0.0,0.0,10.46511,0.0,0.0,70.0,0.0,0.0,100.0,94.36619,0.0,0.0,0.0,0.0,0.0,0.0,63.20754,48.71794,0.0,0.0,0.0,0.0,32.55813,48.71794,65.85365,29.55326,60.60975,50.85872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,35.48387,42.42424,52.10727,24.60035,25.64102,87.5,0.0,0.0,0.0,0.0,0.0,0.0,34.7826,20.65217,0.0,0.0,44.60093,28.65168,0.0,36.0,60.71428,41.17647,0.0,13.08411
