,탄 오일_0,탄 오일_1,아로마티카 오일_0,아로마티카 오일_1,이솝 워시_0,이솝 워시_1,카밀 플러스_0,카밀 플러스_1,브링그린 [플라워티]_0,브링그린 [플라워티]_1,오이보스 크림_0,오이보스 크림_1,아베다 릴리프™_0,아베다 릴리프™_1,허바신 튜브_0,허바신 튜브_1,퓨렐 손소독제_0,퓨렐 손소독제_1,비욘드 모이스처_0,비욘드 모이스처_1,카밀 큐텐_0,카밀 큐텐_1,이니스프리 산딸기_0,이니스프리 산딸기_1,이니스프리 코랄_0,이니스프리 코랄_1,네이처리퍼블릭 릴리_0,네이처리퍼블릭 릴리_1,아비노 핸드크림_0,아비노 핸드크림_1,아트릭스 튜브형_0,아트릭스 튜브형_1,이솝 밤_0,이솝 밤_1,한율 서리태_0,한율 서리태_1,록시땅 핸드크림)_0,록시땅 핸드크림)_1,글리소메드 크림_0,글리소메드 크림_1,더샘 -그레이프프루츠-_0,더샘 -그레이프프루츠-_1,라이온 순(파우더향)_0,라이온 순(파우더향)_1,뉴트로지나 크림_0,뉴트로지나 크림_1,온더바디 민트]_0,온더바디 민트]_1,록시땅 크림_0,록시땅 크림_1,히말라야 크림_0,히말라야 크림_1,토니모리 리퀴드_0,토니모리 리퀴드_1,킵쿨 스프레이_0,킵쿨 스프레이_1,티타니아 발샴푸_0,티타니아 발샴푸_1,비단발 프리미엄_0,비단발 프리미엄_1,몽블리 발샴푸_0,몽블리 발샴푸_1,메디힐 풋마스크_0,메디힐 풋마스크_1,몽블리 메이커_0,몽블리 메이커_1,더바디샵 스크럽_0,더바디샵 스크럽_1,버츠비 크림_0,버츠비 크림_1,어퓨 삭스_0,어퓨 삭스_1,엔젤루카 발팩_0,엔젤루카 발팩_1,한자플라스트 밤_0,한자플라스트 밤_1,이니스프리 [풋]_0,이니스프리 [풋]_1,유노하나 파우더_0,유노하나 파우더_1
14,53.52112,20.40816,47.05882,47.05882,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.69211,17.68659,0.0,77.77777,0.0,0.0,0.0,0.0,23.1884,46.15384,50.0,0.0,28.94736,45.1923,0.0,0.0,0.0,0.0,1.33928,20.94594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.82352,40.0,0.0,0.0,60.83916,60.68376,87.93774,61.53846,0.0,0.0,0.0,0.0,54.05405,26.73611,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,50.0,48.61111,0.0,54.8387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,26.31578
15,25.35211,46.93877,62.74509,34.64052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.96186,16.61528,0.0,0.0,0.0,0.0,0.0,0.0,14.49275,57.6923,41.66666,53.84615,39.47368,43.26923,0.0,0.0,0.0,0.0,3.79464,30.4054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.47058,30.0,0.0,0.0,53.84615,60.68376,77.82101,79.88165,0.0,0.0,0.0,0.0,29.72972,28.81944,0.0,0.0,0.0,0.0,25.0,33.33333,0.0,0.0,50.0,52.77777,0.0,38.70967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,44.73684
16,64.78873,42.85714,70.58823,43.79084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15917,14.53895,0.0,77.77777,0.0,0.0,0.0,0.0,9.42028,50.0,0.0,61.53846,34.21052,35.57692,0.0,0.0,0.0,0.0,3.79464,23.64864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.41176,100.0,0.0,0.0,37.76223,74.35897,57.19844,100.0,0.0,0.0,0.0,0.0,28.37837,31.25,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,37.5,61.11111,58.33333,48.38709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,28.94736
17,28.16901,40.81632,62.74509,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72105,9.80824,50.0,0.0,0.0,0.0,0.0,0.0,7.24637,57.6923,0.0,46.15384,18.42105,48.07692,0.0,0.0,0.0,0.0,7.36607,16.89189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.64705,30.0,0.0,0.0,58.74125,78.63247,57.97665,81.06508,0.0,0.0,0.0,0.0,47.29729,43.75,0.0,0.0,0.0,0.0,45.0,33.33333,0.0,0.0,95.83333,76.38888,58.33333,64.51612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,31.57894
18,42.25352,44.89795,64.70588,85.62091,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,10.39861,7.03671,0.0,0.0,0.0,0.0,0.0,0.0,12.31884,80.76923,0.0,53.84615,21.05263,39.42307,0.0,0.0,0.0,0.0,4.6875,13.51351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.35294,45.0,0.0,0.0,59.44055,60.68376,55.25291,65.08875,0.0,0.0,0.0,0.0,54.05405,28.81944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,65.27777,0.0,87.09677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,47.36842
19,30.98591,69.38775,68.62745,73.20261,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,50.0,0.0,0.0,0.0,0.0,27.52566,7.67333,0.0,0.0,0.0,0.0,41.66666,0.0,52.17391,26.92307,0.0,0.0,44.73684,37.5,0.0,0.0,0.0,0.0,0.0,16.89189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.70588,35.0,0.0,0.0,72.02797,68.37606,56.42023,76.92307,0.0,0.0,0.0,0.0,74.32432,25.34722,0.0,0.0,0.0,0.0,25.0,46.66666,0.0,0.0,54.16666,81.94444,41.66666,41.93548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.94736
20,23.94366,79.59183,64.70588,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,41.66666,0.0,0.0,0.0,0.0,100.0,5.89604,0.0,100.0,0.0,0.0,0.0,0.0,73.1884,42.30769,0.0,100.0,18.42105,50.96153,0.0,0.0,0.0,0.0,2.23214,6.08108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.52941,45.0,0.0,0.0,69.93006,64.95726,38.13229,72.78106,0.0,0.0,0.0,0.0,68.91891,22.91666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,48.61111,0.0,67.74193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,21.05263
21,38.02816,42.85714,64.70588,94.11764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,81.39624,4.97579,70.0,0.0,0.0,0.0,0.0,0.0,60.14492,57.6923,0.0,69.23076,13.15789,75.0,0.0,0.0,0.0,0.0,2.23214,16.21621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.35294,45.0,0.0,0.0,73.42657,63.24786,47.47081,66.8639,0.0,0.0,0.0,0.0,94.59459,20.83333,0.0,0.0,0.0,0.0,25.0,46.66666,0.0,0.0,79.16666,59.72222,75.0,45.16129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,47.36842
22,42.25352,91.83673,54.90196,72.54901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.02694,3.6224,50.0,0.0,0.0,0.0,0.0,0.0,45.65217,46.15384,0.0,0.0,21.05263,65.38461,0.0,0.0,0.0,0.0,3.79464,16.89189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.47058,30.0,0.0,0.0,70.62937,60.68376,52.14007,64.49704,0.0,0.0,0.0,0.0,71.62162,18.40277,0.0,0.0,0.0,0.0,30.0,33.33333,0.0,0.0,45.83333,69.44444,66.66666,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,15.78947
23,42.25352,87.7551,70.58823,68.62745,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,45.24,2.85014,0.0,0.0,0.0,0.0,0.0,0.0,53.62318,80.76923,0.0,0.0,28.94736,63.46153,0.0,0.0,0.0,0.0,2.90178,6.75675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.35294,65.0,0.0,0.0,57.34265,48.71794,44.74708,50.88757,0.0,0.0,0.0,0.0,70.27027,23.95833,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,45.83333,100.0,0.0,67.74193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,13.15789
