,디올 맥시마이저_0,디올 맥시마이저_1,에센스 립글로스_0,에센스 립글로스_1,맥 글라스_0,맥 글라스_1,랑콤 크림_0,랑콤 크림_1,홀리카홀리카 부스터_0,홀리카홀리카 부스터_1,에스티 로더 글로스_0,에스티 로더 글로스_1,스틸라 글로스_0,스틸라 글로스_1,디올 글로스_0,디올 글로스_1,어퓨 플럼퍼_0,어퓨 플럼퍼_1,에뛰드 시럽_0,에뛰드 시럽_1,미샤 글로스_0,미샤 글로스_1,듀왑 시리즈_0,듀왑 시리즈_1,맥 립_0,맥 립_1,캔메이크 모이스트인_0,캔메이크 모이스트인_1,엘르걸 스틱_0,엘르걸 스틱_1,프레쉬 테라피_0,프레쉬 테라피_1,입생로랑 퍼펙터_0,입생로랑 퍼펙터_1,에스쁘아 프라이머_0,에스쁘아 프라이머_1,칼리 프라이머_0,칼리 프라이머_1,마이달리아 립밤앤컨실러_0,마이달리아 립밤앤컨실러_1,바닐라코 서비스_0,바닐라코 서비스_1,네이처리퍼블릭 컨실러_0,네이처리퍼블릭 컨실러_1,포니이펙트 프라이머_0,포니이펙트 프라이머_1,더샘 컨실러_0,더샘 컨실러_1,토니모리 컨실러_0,토니모리 컨실러_1,라네즈 립프라이머_0,라네즈 립프라이머_1,겔랑 리프트_0,겔랑 리프트_1,에뛰드 컨실러]_0,에뛰드 컨실러]_1,이니스프리 컨실러_0,이니스프리 컨실러_1,케이트 [SPF13/PA+]_0,케이트 [SPF13/PA+]_1,케이트 [SPF10/PA+]_0,케이트 [SPF10/PA+]_1,세컨디자인 수딩_0,세컨디자인 수딩_1,카멕스 클래식_0,카멕스 클래식_1,이니스프리 마스크_0,이니스프리 마스크_1,시드물 에센스_0,시드물 에센스_1,멘소래담 립젤_0,멘소래담 립젤_1,유리아쥬 레브르_0,유리아쥬 레브르_1,아리따움 마스크_0,아리따움 마스크_1,라네즈 마스크_0,라네즈 마스크_1,헤라 밤_0,헤라 밤_1
24,29.00232,50.99337,0.0,0.0,0.0,0.0,93.87755,48.8372,0.0,0.0,0.0,0.0,0.0,0.0,30.76923,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,27.35849,30.18867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.19047,48.93617,0.0,0.0,0.0,0.0,0.0,0.0,37.93103,44.11764,0.0,0.0,100.0,41.37353,33.33333,19.38775,0.0,0.0,0.0,0.0,0.0,0.0,46.87842,40.41621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,29.03225,66.66666,27.5862,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,18.0
25,26.68213,43.04635,0.0,0.0,0.0,0.0,59.18367,58.13953,0.0,0.0,0.0,0.0,0.0,0.0,65.38461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.30188,42.45283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.15873,29.78723,0.0,0.0,0.0,0.0,0.0,0.0,51.72413,37.2549,0.0,0.0,93.09623,49.07872,42.85714,10.20408,0.0,0.0,0.0,0.0,0.0,0.0,42.05914,38.33515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,73.33333,31.03448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,14.0
26,25.17401,43.7086,0.0,0.0,0.0,0.0,66.32653,67.44186,0.0,0.0,0.0,0.0,0.0,0.0,34.61538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.83018,45.75471,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,33.33333,40.42553,0.0,0.0,0.0,0.0,0.0,0.0,62.06896,33.33333,0.0,0.0,85.56485,51.75879,30.95238,13.2653,0.0,0.0,0.0,0.0,0.0,0.0,44.79737,31.3253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,19.35483,40.0,31.03448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
27,28.42227,40.39735,0.0,0.0,0.0,0.0,86.73469,72.09302,0.0,0.0,0.0,0.0,0.0,0.0,80.76923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.77358,25.94339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,29.78723,0.0,0.0,0.0,0.0,0.0,0.0,34.48275,31.37254,0.0,100.0,75.52301,56.95142,33.33333,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,43.81161,42.93537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,22.58064,40.0,55.17241,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0
28,24.47795,43.04635,0.0,0.0,0.0,0.0,93.87755,80.23255,0.0,0.0,0.0,0.0,0.0,0.0,23.07692,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.22641,39.15094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.74603,34.04255,0.0,0.0,0.0,0.0,0.0,0.0,86.20689,19.60784,0.0,0.0,71.33891,56.2814,28.57142,24.48979,0.0,0.0,0.0,0.0,0.0,0.0,45.12595,46.87842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,41.93548,0.0,58.62068,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,50.0,85.71428,12.0
29,32.36658,35.09933,0.0,0.0,0.0,0.0,95.91836,60.46511,0.0,0.0,0.0,0.0,0.0,0.0,80.76923,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,33.96226,46.22641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.39682,44.68085,0.0,0.0,0.0,0.0,0.0,0.0,34.48275,19.60784,0.0,0.0,65.89958,52.59631,28.57142,33.67346,0.0,0.0,0.0,0.0,0.0,0.0,40.08762,42.05914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,29.03225,33.33333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,14.0
30,31.09048,45.69536,0.0,0.0,0.0,0.0,69.38775,52.32558,0.0,0.0,0.0,0.0,0.0,0.0,76.92307,0.0,0.0,0.0,0.0,0.0,97.22222,0.0,0.0,0.0,27.35849,33.96226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777,31.91489,0.0,0.0,0.0,0.0,0.0,0.0,37.93103,71.56862,0.0,0.0,74.05857,58.96147,30.95238,36.73469,0.0,0.0,0.0,0.0,0.0,0.0,100.0,44.79737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,32.25806,60.0,24.13793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,28.65429,49.00662,0.0,0.0,0.0,0.0,100.0,59.30232,0.0,0.0,0.0,0.0,0.0,0.0,76.92307,0.0,0.0,0.0,0.0,0.0,27.77777,0.0,0.0,0.0,25.94339,24.0566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.87301,57.4468,0.0,0.0,0.0,0.0,0.0,0.0,75.86206,83.33333,0.0,0.0,74.89539,43.21608,23.80952,24.48979,0.0,0.0,0.0,0.0,0.0,0.0,54.87404,43.81161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,73.33333,41.37931,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,33.52668,56.95364,0.0,0.0,0.0,0.0,77.55102,80.23255,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,27.77777,0.0,0.0,0.0,28.30188,20.28301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.19047,55.31914,0.0,0.0,0.0,0.0,0.0,0.0,24.13793,96.07843,0.0,0.0,68.41004,44.72361,30.95238,9.18367,0.0,0.0,0.0,0.0,0.0,0.0,48.19277,45.12595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,32.25806,86.66666,51.72413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
33,29.81438,55.62913,0.0,0.0,0.0,0.0,80.61224,100.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23076,0.0,0.0,0.0,0.0,0.0,30.55555,0.0,0.0,0.0,35.37735,27.83018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7619,25.53191,0.0,0.0,0.0,0.0,0.0,0.0,55.17241,79.41176,0.0,0.0,69.66527,42.37855,35.71428,15.30612,0.0,0.0,0.0,0.0,0.0,0.0,49.28806,40.08762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,32.0,0.0,40.0,55.17241,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,57.14285,10.0
