,레시피 [SPF50+/PA+++]_0,레시피 [SPF50+/PA+++]_1,온더바디 선스프레이_0,온더바디 선스프레이_1,데메테르 썬스프레이_0,데메테르 썬스프레이_1,바이오더마 [SPF50+]_0,바이오더마 [SPF50+]_1,암웨이 [SPF50+/PA+++]_0,암웨이 [SPF50+/PA+++]_1,오휘 [SPF50+/PA+++]_0,오휘 [SPF50+/PA+++]_1,폴라돌프 [SPF50+/PA+++]_0,폴라돌프 [SPF50+/PA+++]_1,아크웰 [SPF50+/PA+++]_0,아크웰 [SPF50+/PA+++]_1,카트린 [SPF46/PA+++]_0,카트린 [SPF46/PA+++]_1,리더스코스메틱 [SPF50+/PA++++]_0,리더스코스메틱 [SPF50+/PA++++]_1,비오템 [SPF30]_0,비오템 [SPF30]_1,JM솔루션 [SPF50+/PA++++]_0,JM솔루션 [SPF50+/PA++++]_1,Dr.G [SPF50+/PA++++]_0,Dr.G [SPF50+/PA++++]_1,닥터아토 [SPF50+/PA+++]_0,닥터아토 [SPF50+/PA+++]_1,오스트레일리안골드 [SPF8]_0,오스트레일리안골드 [SPF8]_1,하와이안 트로픽 오일_0,하와이안 트로픽 오일_1,디자이너스킨 태닝로션_0,디자이너스킨 태닝로션_1,바나나보트 태닝오일_0,바나나보트 태닝오일_1,오스트레일리안골드 태닝스프레이젤_0,오스트레일리안골드 태닝스프레이젤_1,오스트레일리안골드 스프레이_0,오스트레일리안골드 스프레이_1,비엘렌다 미스트_0,비엘렌다 미스트_1,오스트레일리안골드 태닝로션_0,오스트레일리안골드 태닝로션_1,오스트레일리안골드 브론저_0,오스트레일리안골드 브론저_1,플레이보이 맨션_0,플레이보이 맨션_1,플레이보이 태닝로션_0,플레이보이 태닝로션_1,플레이보이 Bronzer_0,플레이보이 Bronzer_1,스키니탠 태너_0,스키니탠 태너_1,하와이안 트로픽 [SPF4]_0,하와이안 트로픽 [SPF4]_1,캐리비안 오일_0,캐리비안 오일_1,일리윤 젤_0,일리윤 젤_1,홀리카홀리카 수딩젤_0,홀리카홀리카 수딩젤_1,아로마티카 젤_0,아로마티카 젤_1,사임당화장품 알로젤_0,사임당화장품 알로젤_1,토니모리 수딩젤_0,토니모리 수딩젤_1,A24 수딩겔_0,A24 수딩겔_1,홀리카홀리카 (프레쉬)_0,홀리카홀리카 (프레쉬)_1,비욘드 수딩젤_0,비욘드 수딩젤_1,시드물 에센셜_0,시드물 에센셜_1,홀리카홀리카 모이스쳐라이징_0,홀리카홀리카 모이스쳐라이징_1,더페이스샵 수딩젤_0,더페이스샵 수딩젤_1
20,0.0,0.0,45.61403,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.26315,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.10638,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.16666,41.17647,0.0,0.0,0.0,0.0,11.42857,7.43801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,34.43708,12.5
21,0.0,0.0,56.14035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.57894,40.90909,0.0,0.0,37.5,0.0,0.0,0.0,0.0,32.97872,0.0,0.0,0.0,15.94202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.08333,0.0,0.0,0.0,0.0,0.0,20.0,19.00826,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,29.13907,47.91666
22,0.0,0.0,40.35087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.63157,0.0,0.0,0.0,29.16666,0.0,0.0,0.0,0.0,25.53191,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.41666,29.41176,0.0,0.0,0.0,0.0,8.57142,20.66115,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.20529,41.66666
23,0.0,0.0,19.29824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777,84.21052,15.90909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.14893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.41666,47.05882,0.0,0.0,0.0,0.0,15.71428,25.61983,0.0,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,19.86754,47.91666
24,0.0,0.0,45.61403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.73684,11.36363,0.0,0.0,20.83333,0.0,0.0,0.0,0.0,19.14893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.58333,29.41176,0.0,0.0,0.0,0.0,14.28571,23.14049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.23178,41.66666
25,0.0,0.0,43.85964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.63157,11.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.02127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.83333,52.94117,0.0,0.0,0.0,0.0,27.14285,27.27272,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,21.8543,43.75
26,0.0,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.10526,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.53191,0.0,0.0,0.0,10.14492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,33.33333,52.94117,0.0,0.0,0.0,0.0,24.28571,34.71074,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,23.1788,16.66666
27,0.0,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,73.68421,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.3617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.91666,94.11764,0.0,0.0,0.0,0.0,14.28571,38.84297,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,45.03311,95.83333
28,0.0,0.0,19.29824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.63157,38.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.46808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,14.58333,41.17647,0.0,0.0,0.0,0.0,14.28571,17.35537,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,30.46357,29.16666
29,0.0,0.0,22.80701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.52631,22.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.61702,0.0,0.0,0.56818,11.5942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,41.17647,0.0,0.0,0.0,0.0,41.42857,20.66115,100.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,25.16556,45.83333
