,샤넬 엥땅스_0,샤넬 엥땅스_1,크리니크 립스_0,크리니크 립스_1,포인트 립앤아이리무버_0,포인트 립앤아이리무버_1,라네즈 립&아이리무버_0,라네즈 립&아이리무버_1,에뛰드 리무버_0,에뛰드 리무버_1,미샤 리무버_0,미샤 리무버_1,아리따움 리무버_0,아리따움 리무버_1,스킨푸드 리무버_0,스킨푸드 리무버_1,구달 패드_0,구달 패드_1,시드물 필링젤_0,시드물 필링젤_1,프리메라 필링_0,프리메라 필링_1,더샘 젤_0,더샘 젤_1,참존 콘트롤크림_0,참존 콘트롤크림_1,클레어스 젠틀블랙슈거페이셜폴리쉬_0,클레어스 젠틀블랙슈거페이셜폴리쉬_1,참존 마사지_0,참존 마사지_1,세컨디자인 부스트_0,세컨디자인 부스트_1,나인위시스 폴리쉬_0,나인위시스 폴리쉬_1,스킨푸드 젤_0,스킨푸드 젤_1,비욘드 스크럽_0,비욘드 스크럽_1,엘러브 필링패드_0,엘러브 필링패드_1,브라운랩 필링패드_0,브라운랩 필링패드_1,나이팅게일 [티트리]_0,나이팅게일 [티트리]_1,스킨푸드 2X_0,스킨푸드 2X_1,셀리맥스 패드_0,셀리맥스 패드_1,투쿨포스쿨 스크럽_0,투쿨포스쿨 스크럽_1,파파레서피 토너_0,파파레서피 토너_1,VDL 엑스폴리언트_0,VDL 엑스폴리언트_1,어퓨 메이커_0,어퓨 메이커_1,시드물 버블메이커_0,시드물 버블메이커_1,미샤 메이커_0,미샤 메이커_1,에뛰드 메이커_0,에뛰드 메이커_1,이니스프리 메이커_0,이니스프리 메이커_1,다이소 샤워볼_0,다이소 샤워볼_1,시크릿키 브러쉬_0,시크릿키 브러쉬_1,이니스프리 스펀지_0,이니스프리 스펀지_1,아리따움 거품망_0,아리따움 거품망_1,올리브영 거품망_0,올리브영 거품망_1,올리브영 클렌징퍼프_0,올리브영 클렌징퍼프_1,크룬 세안용_0,크룬 세안용_1,아임미미 브러쉬_0,아임미미 브러쉬_1
47,0.0,0.0,0.0,0.0,31.57894,20.0,0.0,0.0,72.34042,57.14285,82.14285,40.56603,37.5,31.12582,30.20833,21.49532,47.61904,78.57142,13.36633,30.12048,48.48484,80.4878,0.0,0.0,60.97201,55.82822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,66.66666,52.17391,0.0,0.0,19.49458,53.20512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.14285,42.55319,0.0,0.0,25.0,61.90476,0.0,73.91304,58.49056,48.97959,25.23809,11.90476,0.0,0.0,25.0,21.21212
48,0.0,0.0,0.0,0.0,52.63157,17.14285,0.0,0.0,63.82978,19.04761,60.71428,46.22641,37.5,31.78807,53.125,17.757,45.23809,55.35714,11.88118,32.53012,51.51515,85.36585,0.0,0.0,54.19734,47.11656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.26086,0.0,0.0,28.15884,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.57142,38.29787,0.0,0.0,0.0,42.85714,0.0,0.0,56.60377,61.22448,17.14285,20.0,0.0,0.0,46.25,21.21212
49,0.0,0.0,0.0,0.0,42.10526,28.57142,0.0,0.0,46.80851,33.33333,82.14285,33.96226,40.0,29.80132,34.375,25.23364,57.14285,48.21428,17.82178,30.12048,37.87878,70.7317,0.0,0.0,53.01914,63.31288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,93.33333,39.13043,0.0,0.0,21.29963,38.78205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,44.68085,0.0,0.0,0.0,42.85714,0.0,21.73913,50.94339,61.22448,27.61904,20.0,0.0,0.0,30.0,24.24242
50,0.0,0.0,0.0,0.0,0.0,37.14285,0.0,0.0,46.80851,23.80952,32.14285,32.07547,47.5,23.84105,16.66666,48.59813,45.23809,62.5,8.91089,26.50602,78.78787,60.9756,0.0,0.0,53.01914,52.14723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.21739,0.0,0.0,14.44043,39.42307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.85714,38.29787,0.0,0.0,0.0,61.90476,75.0,39.13043,41.50943,71.42857,17.14285,15.71428,0.0,0.0,46.25,21.21212
51,0.0,0.0,0.0,0.0,47.36842,45.71428,0.0,0.0,57.4468,38.09523,46.42857,37.73584,27.5,25.16556,54.16666,42.99065,30.95238,42.85714,17.32673,16.86746,90.90909,59.75609,0.0,0.0,51.10456,44.78527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,21.73913,0.0,0.0,25.63176,35.57692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.42857,25.53191,0.0,0.0,20.83333,57.14285,0.0,0.0,60.37735,57.14285,22.85714,13.33333,0.0,0.0,58.75,30.30303
52,0.0,0.0,0.0,0.0,52.63157,42.85714,0.0,0.0,36.17021,33.33333,32.14285,33.01886,50.0,25.82781,21.875,60.74766,64.28571,26.78571,20.29702,30.12048,77.27272,47.56097,0.0,0.0,52.87187,43.43558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7826,0.0,0.0,31.76895,31.41025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.71428,21.27659,0.0,0.0,0.0,33.33333,0.0,43.47826,56.60377,63.2653,24.7619,12.85714,0.0,0.0,61.25,18.18181
53,0.0,0.0,0.0,0.0,78.94736,28.57142,0.0,0.0,55.31914,38.09523,85.71428,33.96226,52.5,28.47682,38.54166,36.44859,59.5238,41.07142,12.87128,30.12048,66.66666,50.0,0.0,0.0,69.21944,49.07975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.86956,0.0,0.0,25.99277,45.1923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.28571,38.29787,0.0,0.0,20.83333,66.66666,0.0,0.0,50.94339,51.0204,30.0,19.5238,0.0,0.0,42.5,60.60606
54,0.0,0.0,0.0,0.0,52.63157,57.14285,0.0,0.0,38.29787,28.57142,39.28571,29.24528,57.5,20.5298,27.08333,50.46728,100.0,26.78571,12.37623,38.55421,68.18181,57.31707,0.0,0.0,86.89248,49.81595,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.17391,0.0,0.0,31.40794,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.42857,21.27659,0.0,0.0,20.83333,57.14285,87.5,30.43478,62.26415,44.89795,16.66666,15.23809,0.0,0.0,42.5,0.0
55,0.0,0.0,0.0,0.0,52.63157,62.85714,0.0,0.0,55.31914,30.95238,46.42857,32.07547,37.5,33.77483,28.125,46.72897,61.90476,50.0,14.85148,44.57831,42.42424,56.09756,0.0,62.5,68.33578,52.51533,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.82608,0.0,0.0,23.4657,40.0641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.14285,29.78723,0.0,0.0,0.0,52.38095,0.0,47.82608,49.0566,69.38775,16.19047,15.71428,0.0,0.0,48.75,21.21212
56,0.0,0.0,0.0,0.0,42.10526,100.0,0.0,0.0,74.46808,21.42857,46.42857,30.18867,85.0,52.31788,35.41666,45.79439,61.90476,32.14285,21.28712,60.24096,33.33333,43.90243,0.0,0.0,54.34462,53.25153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.13043,0.0,0.0,30.3249,40.70512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.42857,12.76595,0.0,0.0,0.0,57.14285,0.0,56.52173,81.13207,100.0,25.71428,14.7619,0.0,0.0,45.0,21.21212
