,셀퓨전씨 필스_0,셀퓨전씨 필스_1,이니스프리 클렌저_0,이니스프리 클렌저_1,SRB세안제_0,SRB세안제_1,휘게 클렌저_0,휘게 클렌저_1,프리메라 폼_0,프리메라 폼_1,이즈앤트리 워시_0,이즈앤트리 워시_1,애즈이즈투비 클렌저_0,애즈이즈투비 클렌저_1,해서린 클렌징젤_0,해서린 클렌징젤_1,미샤 클렌저_0,미샤 클렌저_1,닥터오라클 폼_0,닥터오라클 폼_1,잇퍼 클렌징폼_0,잇퍼 클렌징폼_1,유리프 폼클렌저_0,유리프 폼클렌저_1,라로슈포제 크림_0,라로슈포제 크림_1,설화수 폼_0,설화수 폼_1,시드물 젤)_0,시드물 젤)_1,에이밀 폼_0,에이밀 폼_1,메이크프렘 폼_0,메이크프렘 폼_1,시드물 클렌져_0,시드물 클렌져_1,룩스앤메이 클렌저_0,룩스앤메이 클렌저_1,러쉬 스킨_0,러쉬 스킨_1,더샘 워터_0,더샘 워터_1,바닐라코 오리지널_0,바닐라코 오리지널_1,니베아 워터_0,니베아 워터_1,킵쿨 워터_0,킵쿨 워터_1,더샘 패드_0,더샘 패드_1,헤이미쉬 밤_0,헤이미쉬 밤_1,키노닉스 패드_0,키노닉스 패드_1,라로슈포제 스킨_0,라로슈포제 스킨_1,비페스타 시트_0,비페스타 시트_1,비오투름 밀크_0,비오투름 밀크_1,가르니에 워터_0,가르니에 워터_1,브라운랩 워터_0,브라운랩 워터_1,크리니크 오일_0,크리니크 오일_1,슈에무라 오일_0,슈에무라 오일_1,설화수 오일_0,설화수 오일_1,세컨디자인 프레쉬_0,세컨디자인 프레쉬_1,시드물 밀크_0,시드물 밀크_1,16BRAND 밤_0,16BRAND 밤_1,아리얼 패드_0,아리얼 패드_1,에뛰드 클리너_0,에뛰드 클리너_1
20,0.0,0.0,71.42857,0.0,30.88803,30.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.36363,51.35135,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.90476,14.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96825,12.0,0.0,0.0,0.0,0.0,52.45901,61.90476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.57142,74.19354,66.66666,44.82758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,32.81853,96.25,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.51515,56.75675,0.0,42.10526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.19047,14.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96825,13.0,0.0,0.0,0.0,0.0,83.60655,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,69.89247,43.58974,34.48275,0.0,0.0,85.71428,0.0,0.0,0.0,42.10526,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,18.91891,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,43.24324,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,21.90476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7619,16.0,0.0,0.0,0.0,0.0,68.85245,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,28.57142,66.66666,28.20512,34.48275,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,32.81853,38.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.48484,21.62162,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,27.61904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5238,11.0,0.0,0.0,0.0,0.0,65.57377,90.47619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.49462,41.02564,27.5862,0.0,0.0,71.42857,0.0,0.0,0.0,26.31578,0.0,0.0,0.0
24,0.0,0.0,71.42857,0.0,36.29343,33.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,62.16216,0.0,42.10526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,13.33333,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.31746,11.0,0.0,0.0,0.0,0.0,55.7377,54.7619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,39.28571,84.94623,41.02564,41.37931,0.0,0.0,71.42857,0.0,0.0,0.0,73.68421,0.0,0.0,0.0
25,0.0,0.0,0.0,100.0,38.61003,42.5,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.30303,64.86486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.61904,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.31746,12.0,0.0,0.0,0.0,0.0,83.60655,61.90476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,57.14285,62.36559,53.84615,48.27586,0.0,0.0,0.0,0.0,0.0,0.0,36.8421,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,24.71042,53.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.42424,40.54054,0.0,63.15789,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,76.19047,8.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9365,6.0,0.0,0.0,0.0,0.0,67.21311,64.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,48.38709,69.23076,72.41379,0.0,0.0,85.71428,0.0,0.0,0.0,63.15789,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,22.77992,40.625,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.39393,59.45945,0.0,36.8421,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,33.33333,11.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.31746,10.0,0.0,0.0,0.0,0.0,67.21311,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,52.68817,41.02564,41.37931,0.0,0.0,0.0,0.0,0.0,0.0,52.63157,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,35.90733,43.125,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.51515,59.45945,0.0,36.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,16.19047,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3492,6.0,0.0,0.0,0.0,0.0,72.13114,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,41.93548,84.61538,37.93103,0.0,0.0,71.42857,0.0,0.0,0.0,31.57894,0.0,0.0,0.0
29,0.0,0.0,71.42857,0.0,38.22393,35.625,0.0,0.0,0.0,91.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.36363,59.45945,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,9.5238,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14285,0.0,0.0,0.0,0.0,0.0,75.40983,45.23809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.28571,39.78494,46.15384,24.13793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
