,아리따움 쿨러_0,아리따움 쿨러_1,다이소 (44535)_0,다이소 (44535)_1,이니스프리 스패튤라_0,이니스프리 스패튤라_1,닥터자르트 쉐이퍼_0,닥터자르트 쉐이퍼_1,어퓨 마사저_0,어퓨 마사저_1,글로우힐 브러시_0,글로우힐 브러시_1,어퓨 커버_0,어퓨 커버_1,이니스프리 브러시_0,이니스프리 브러시_1,입생로랑 마사저_0,입생로랑 마사저_1,에뛰드 마사저_0,에뛰드 마사저_1,황후연이혈기석_0,황후연이혈기석_1,에뛰드 쿨러_0,에뛰드 쿨러_1,루데아 브이밴드_0,루데아 브이밴드_1,미샤 브러시_0,미샤 브러시_1,자르딘 롤러_0,자르딘 롤러_1,오멜론 페이스_0,오멜론 페이스_1,싸이닉 키트_0,싸이닉 키트_1,이니스프리 볼_0,이니스프리 볼_1,아이소이 링클케어_0,아이소이 링클케어_1,더마퀸 페이스용_0,더마퀸 페이스용_1,클레어스 [SPF50+/PA++++]_0,클레어스 [SPF50+/PA++++]_1,휘게 [SPF50+/PA++++]_0,휘게 [SPF50+/PA++++]_1,AHC 선세럼)_0,AHC 선세럼)_1,이자녹스 [SPF50+/PA++++]_0,이자녹스 [SPF50+/PA++++]_1,엑스와이지 포뮬러 [SPF50+/PA+++]_0,엑스와이지 포뮬러 [SPF50+/PA+++]_1,달바 [SPF50+/PA++++]_0,달바 [SPF50+/PA++++]_1,미샤 [SPF50+/PA++++]_0,미샤 [SPF50+/PA++++]_1,어퓨 [SPF50+/PA++++]_0,어퓨 [SPF50+/PA++++]_1,셀퓨전씨 [SPF50+/PA+++]_0,셀퓨전씨 [SPF50+/PA+++]_1,미샤 [SPF45/PA+++]_0,미샤 [SPF45/PA+++]_1,더프트앤도프트 [SPF50+/PA++++]_0,더프트앤도프트 [SPF50+/PA++++]_1,더페이스샵 50+/PA++++]_0,더페이스샵 50+/PA++++]_1,라로슈포제 [SPF50/PA++++]_0,라로슈포제 [SPF50/PA++++]_1,입생로랑 [SPF50+/PA+++]_0,입생로랑 [SPF50+/PA+++]_1,랩노 [SPF50+/PA++++]_0,랩노 [SPF50+/PA++++]_1,더프트앤도프트 [SPF50+/PA+++]_0,더프트앤도프트 [SPF50+/PA+++]_1,싸이닉 [SPF50+/PA+++]_0,싸이닉 [SPF50+/PA+++]_1,에뛰드 [SPF50+/PA++++]_0,에뛰드 [SPF50+/PA++++]_1,AHC [SPF50+/PA++++]_0,AHC [SPF50+/PA++++]_1,식물나라 [SPF50+/PA+++]_0,식물나라 [SPF50+/PA+++]_1
36,40.0,14.89361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.43478,0.0,0.0,0.0,11.36363,25.0,14.28571,0.0,60.0,59.31034,45.83333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,77.14285,19.14893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,0.0,0.0,0.0,22.72727,0.0,29.7619,0.0,52.0,50.34482,50.0,0.0,0.0,100.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,54.28571,12.76595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.85714,18.18181,35.0,20.23809,0.0,24.0,78.62068,45.83333,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,29.78723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.13043,0.0,0.0,0.0,0.0,0.0,20.23809,0.0,20.0,53.10344,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,23.40425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,0.0,0.0,0.0,0.0,0.0,17.85714,0.0,24.0,51.03448,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,20.0,59.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.71428,0.0,28.0,43.44827,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,57.14285,36.17021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.17391,0.0,0.0,0.0,17.85714,15.90909,25.0,13.09523,0.0,36.0,52.41379,39.58333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,17.14285,85.10638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7826,0.0,0.0,0.0,0.0,0.0,0.0,7.14285,0.0,0.0,47.5862,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,19.14893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0909,0.0,26.19047,0.0,0.0,64.82758,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,48.57142,19.14893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.36363,0.0,27.38095,0.0,20.0,53.10344,68.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
