,JMW 드라이기)_0,JMW 드라이기)_1,테팔 HV6071KO_0,테팔 HV6071KO_1,보다나 판고데기_0,보다나 판고데기_1,CKI 미니고데기_0,CKI 미니고데기_1,보다나 32mm_0,보다나 32mm_1,키스뉴욕 고데기)_0,키스뉴욕 고데기)_1,바비리스 고데기_0,바비리스 고데기_1,FHI KOREA 블랙스완_0,FHI KOREA 블랙스완_1,유닉스 아이론_0,유닉스 아이론_1,비달사순 드라이어_0,비달사순 드라이어_1,필립스 HP-8202_0,필립스 HP-8202_1,JMW MS6001A_0,JMW MS6001A_1,필립스 HP8260_0,필립스 HP8260_1,피닉스 PN795_0,피닉스 PN795_1,바이탈뷰티 콜라겐_0,바이탈뷰티 콜라겐_1,DHC 히알루론산_0,DHC 히알루론산_1,하나마이 콜라겐_0,하나마이 콜라겐_1,큐브미 큐브_0,큐브미 큐브_1,베러데이 스킨데이_0,베러데이 스킨데이_1,브이에이피 스킨콜라겐젤리_0,브이에이피 스킨콜라겐젤리_1,애플트리 김약사네 콜라겐C_0,애플트리 김약사네 콜라겐C_1,뉴트리원3500_0,뉴트리원3500_1,오르비스 엑설런트_0,오르비스 엑설런트_1,소버스 히알루론240_0,소버스 히알루론240_1,이너비 아쿠아스틱_0,이너비 아쿠아스틱_1,그린몬스터 이너콜라겐_0,그린몬스터 이너콜라겐_1,경남제약결콜라겐_0,경남제약결콜라겐_1,벨리불리 피치_0,벨리불리 피치_1,뉴트리원파우더S_0,뉴트리원파우더S_1,뉴트리원저분자콜라겐_0,뉴트리원저분자콜라겐_1,종근당건강 아쿠아워너비_0,종근당건강 아쿠아워너비_1,종근당건강 콜라겐_0,종근당건강 콜라겐_1,Doctor's BEST푸마르산_0,Doctor's BEST푸마르산_1,바이탈뷰티 슬림컷_0,바이탈뷰티 슬림컷_1,그린몬스터 녹차카테킨1000+_0,그린몬스터 녹차카테킨1000+_1,칼로바이 오곡맛_0,칼로바이 오곡맛_1,프롬바이오 와일드망고_0,프롬바이오 와일드망고_1,나우푸드 키토산_0,나우푸드 키토산_1,벨리불리 레몬_0,벨리불리 레몬_1,칼로바이 허니바닐라맛_0,칼로바이 허니바닐라맛_1
10,0.0,0.0,0.0,0.0,43.97859,97.36842,30.13698,40.15151,53.33333,70.83333,0.0,0.0,61.21372,63.15789,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,53.75,67.74193,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,28.125,25.10288,47.61904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.32283,0.0,0.0,7.6923,1.70648,0.0,0.0,0.0,0.0,0.0,22.91666,0.0,0.0,0.0,0.0,27.77777,0.0,0.0,36.66666,0.0,0.0,0.0,0.0,0.0,25.30612,1.55339,64.91228,41.05263,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,37.37734,80.82706,30.13698,29.54545,48.88888,29.16666,0.0,0.0,60.42216,59.86842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,80.64516,0.0,0.0,0.0,0.0,42.30769,29.16666,0.0,34.375,18.10699,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.29133,0.0,31.57894,0.0,4.09556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.0,0.0,0.0,0.0,0.0,29.79591,0.64724,42.10526,62.10526,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,36.39607,81.203,17.12328,39.39393,68.88888,29.16666,0.0,0.0,64.11609,51.31578,0.0,0.0,70.0,88.88888,0.0,0.0,0.0,0.0,43.75,40.32258,72.72727,38.46153,0.0,0.0,19.23076,0.0,0.0,53.125,34.15637,61.90476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.83464,0.0,0.0,21.53846,0.0,0.0,0.0,0.0,0.0,0.0,39.58333,0.0,0.0,0.0,0.0,27.77777,0.0,0.0,36.66666,0.0,0.0,0.0,0.0,0.0,26.53061,0.58252,33.33333,47.36842,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,48.26048,74.62406,26.71232,29.54545,64.44444,62.5,0.0,0.0,51.45118,49.67105,0.0,0.0,0.0,88.88888,0.0,0.0,100.0,0.0,42.5,37.09677,0.0,0.0,0.0,0.0,46.15384,0.0,87.5,0.0,44.03292,16.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.74015,0.0,0.0,0.0,2.04778,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.33333,33.33333,0.0,0.0,0.0,0.0,38.36734,0.32362,35.08771,64.21052,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,44.51382,79.13533,34.24657,39.39393,64.44444,45.83333,0.0,0.0,46.70184,59.21052,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,42.5,45.96774,0.0,0.0,0.0,0.0,38.46153,29.16666,62.5,25.0,27.57201,69.04761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.34645,0.0,0.0,0.0,2.04778,0.0,0.0,0.0,0.0,0.0,10.41666,0.0,0.0,0.0,0.0,38.88888,0.0,0.0,23.33333,46.66666,0.0,0.0,0.0,0.0,29.38775,0.90614,33.33333,78.94736,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,48.17127,69.17293,23.28767,15.90909,77.77777,41.66666,0.0,0.0,54.0897,52.96052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,66.93548,0.0,0.0,0.0,0.0,53.84615,25.0,0.0,18.75,36.21399,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.74015,0.0,0.0,7.6923,3.41296,0.0,0.0,0.0,0.0,0.0,16.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.66666,0.0,0.0,0.0,0.0,0.0,35.91836,0.38834,66.66666,64.21052,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,42.55129,96.61654,31.50684,25.75757,42.22222,95.83333,0.0,0.0,71.2401,55.5921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,63.75,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,53.125,32.92181,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.62204,0.0,0.0,0.0,6.48464,0.0,0.0,0.0,0.0,0.0,27.08333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,53.33333,0.0,0.0,0.0,0.0,46.12244,1.29449,59.64912,68.42105,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,42.46208,74.24812,21.23287,31.81818,37.77777,83.33333,0.0,0.0,59.6306,51.64473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,57.25806,0.0,0.0,0.0,0.0,19.23076,41.66666,0.0,46.875,79.83539,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.37795,0.0,31.57894,0.0,5.11945,0.0,0.0,0.0,0.0,0.0,20.83333,0.0,0.0,100.0,0.0,0.0,0.0,0.0,26.66666,0.0,0.0,0.0,0.0,0.0,53.06122,2.26537,59.64912,49.47368,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,40.94558,76.12781,13.01369,56.81818,44.44444,29.16666,0.0,0.0,53.29815,49.01315,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,77.5,59.67741,0.0,0.0,0.0,0.0,0.0,29.16666,75.0,25.0,50.20576,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.16535,0.0,0.0,0.0,2.73037,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,38.88888,0.0,0.0,30.0,40.0,0.0,0.0,0.0,0.0,66.12244,2.33009,47.36842,63.15789,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,39.51828,80.82706,19.17808,48.48484,35.55555,62.5,0.0,0.0,42.48021,49.3421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.25,41.12903,0.0,0.0,0.0,0.0,69.23076,66.66666,75.0,31.25,48.97119,45.23809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.70866,0.0,0.0,0.0,5.80204,0.0,0.0,0.0,0.0,0.0,47.91666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.66666,0.0,0.0,0.0,0.0,0.0,100.0,1.87702,35.08771,63.15789,0.0,0.0,0.0,0.0
