,데일리 모이스춰라이징 로션_0,데일리 모이스춰라이징 로션_1,굳세라 아토릴리프 오일 로션_0,굳세라 아토릴리프 오일 로션_1,아토덤 크림_0,아토덤 크림_1,슬리피_0,슬리피_1,하이드레이팅 핸드 앤 바디로션_0,하이드레이팅 핸드 앤 바디로션_1,그린티 허니 드롭스 바디크림_0,그린티 허니 드롭스 바디크림_1,노르웨이젼 포뮬러 바디 에멀젼_0,리뉴 인텐시브 스킨 로션_0,리뉴 인텐시브 스킨 로션_1,울트라 리페어 로션_0,울트라 리페어 로션_1,스트레스 릴리프 모이스처라이징 로션_0,스트레스 릴리프 모이스처라이징 로션_1,퓨어 스킨 젤리 오리지널_0,퓨어 스킨 젤리 오리지널_1,바디 오일 모로칸 가드너_0,바디 오일 모로칸 가드너_1,레미디얼 크림_0,레미디얼 크림_1,데일리 모이스처 바디 오일_0,데일리 모이스처 바디 오일_1,마일드 모이스처 밀크 오일_0,마일드 모이스처 밀크 오일_1,큐어 플러스 크림_0,큐어 플러스 크림_1,포포크림_0,포포크림_1,토닉 바디 트리트먼트 오일_0,토닉 바디 트리트먼트 오일_1,수딩 오인트먼트_0,수딩 오인트먼트_1,로즈버드살브 오리지널_0,로즈버드살브 오리지널_1,센텔라 멀티 밤_0,센텔라 멀티 밤_1,로즈페탈 살브_0,로즈페탈 살브_1,퓨어 시어 버터 EFT  에코서트_0,퓨어 시어 버터 EFT  에코서트_1,모링가 뷰티파잉 오일_0,모링가 뷰티파잉 오일_1,레몬 앤 비타민 E 바스 앤 바디 오일_0,레몬 앤 비타민 E 바스 앤 바디 오일_1,딥 모이스처 바디 오일_0,딥 모이스처 바디 오일_1,민트 로즈 튜브_0,민트 로즈 튜브_1,수딩 스킨 밤_0,수딩 스킨 밤_1,아몬드 서플 스킨 오일_0,아몬드 서플 스킨 오일_1,디바인 오일_0,디바인 오일_1,딥 모이스처 바디 미스트_0,딥 모이스처 바디 미스트_1,트와일라잇_0,트와일라잇_1,스톡홀름로즈 파인프라그란스 헤어   바디미스트_0,스톡홀름로즈 파인프라그란스 헤어   바디미스트_1,바디미스트  화이트포션 _0,바디미스트  화이트포션 _1,바디미스트 아쿠아키스_0,바디미스트 아쿠아키스_1,웨딩데이 판타지 바디 스프레이_0,웨딩데이 판타지 바디 스프레이_1,핑크 포션_0,핑크 포션_1,화이트 머스크 후레그런스 미스트_0,화이트 머스크 후레그런스 미스트_1,시트러스 버베나 바디 스플래쉬_0,시트러스 버베나 바디 스플래쉬_1,바디 오 드 뚜왈렛   _0,바디 오 드 뚜왈렛   _1
20,0.0,0.0,0.0,0.0,32.0,48.14814,0.41177,1.16052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.3125,47.88732,72.24383,67.53,0.0,0.0,0.0,0.0,0.0,0.0,10.05586,6.70391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.31877,28.93721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.28301,53.33333,0.0,42.85714,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,26.66666,74.07407,0.60631,0.66892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.9375,70.42253,66.92607,61.46557,0.0,0.0,0.0,38.88888,0.0,0.0,9.4972,7.82122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,56.39512,25.41995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.88679,66.66666,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,22.66666,62.96296,0.7133,0.46403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.4375,57.74647,69.71465,67.84586,0.0,0.0,0.0,33.33333,0.0,0.0,6.70391,10.61452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888,0.0,0.0,0.0,81.52302,24.35444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.28301,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,44.0,85.18518,0.50061,20.53163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.625,71.83098,63.68352,68.28806,0.0,0.0,0.0,0.0,0.0,0.0,7.82122,11.73184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,51.82998,23.7184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.45283,60.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,29.33333,37.03703,0.54276,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5625,70.42253,73.99481,66.32975,0.0,0.0,0.0,0.0,0.0,0.0,10.61452,6.14525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.61353,23.68034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5849,46.66666,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,13.33333,59.25925,0.50385,2.18566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.25,53.52112,71.07652,70.12002,0.0,0.0,0.0,100.0,0.0,0.0,11.73184,10.61452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,50.39354,22.20712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.56603,40.0,0.0,35.71428,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,34.66666,40.74074,0.45327,1.25898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0625,40.84507,60.44098,67.40366,0.0,0.0,0.0,0.0,0.0,0.0,6.14525,9.4972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.86619,21.54389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.13207,60.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,22.66666,25.92592,0.74702,1.22708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.5625,46.47887,61.15434,67.65634,0.0,100.0,0.0,0.0,0.0,0.0,10.61452,15.08379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,86.3046,20.73389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.24528,0.0,0.0,57.14285,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,26.66666,33.33333,1.12508,0.72422,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.625,46.47887,67.31517,64.93998,0.0,0.0,0.0,0.0,0.0,0.0,9.4972,54.7486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.19834,67.35525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.13207,40.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,21.33333,51.85185,1.50054,1.87053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9375,66.19718,66.60181,64.87681,0.0,0.0,0.0,0.0,0.0,0.0,15.08379,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.15781,21.65262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.90566,0.0,0.0,57.14285,0.0,0.0,83.33333,0.0
