,셀다운 너리싱 크림_0,셀다운 너리싱 크림_1,타이거밤 넥앤숄더 크림_0,타이거밤 넥앤숄더 크림_1,바디슬리밍 핫 테라피 크림_0,바디슬리밍 핫 테라피 크림_1,피곤하지 마사지 볼_0,피곤하지 마사지 볼_1,야간용 슈퍼 롱 압박 스타킹_0,야간용 슈퍼 롱 압박 스타킹_1,바디 핏 엑스퍼트 카피톤_0,바디 핏 엑스퍼트 카피톤_1,뷔스트 뷰티 로션_0,뷔스트 뷰티 로션_1,갈바닉 스파 시스템 에이지락바디_0,갈바닉 스파 시스템 에이지락바디_1,크렘 마스벨트_0,크렘 마스벨트_1,팻 걸 식스팩_0,팻 걸 식스팩_1,버치 셀룰라이트 오일_0,버치 셀룰라이트 오일_1,바디 리프트 컨트롤_0,바디 리프트 컨트롤_1,마사지 핫볼_0,마사지 핫볼_1,리얼 쿨 바디_0,리얼 쿨 바디_1,날씬 미녀 크림_0,날씬 미녀 크림_1,더 바디 슬림 이펙터_0,더 바디 슬림 이펙터_1,더 바디 슬림 젤_0,더 바디 슬림 젤_1,레그 리커버리 수면쉐이퍼_0,레그 리커버리 수면쉐이퍼_1,리커버리 크림_0,리커버리 크림_1,미네랄 데오드란트 스틱_0,미네랄 데오드란트 스틱_1,미네랄 데오드란트 롤온  무향 _0,미네랄 데오드란트 롤온  무향 _1,데오드란트 바디 스프레이_0,데오드란트 바디 스프레이_1,사라사라 파우더시트_0,사라사라 파우더시트_1,데오프레쉬 바디 프라이머_0,데오프레쉬 바디 프라이머_1,바디 데오 스틱  무향 _0,바디 데오 스틱  무향 _1,틴 스피릿 솔리드 핑크 크러쉬 데오드란트_0,틴 스피릿 솔리드 핑크 크러쉬 데오드란트_1,바디 데오 스틱  바닐라 파우더리향 _0,바디 데오 스틱  바닐라 파우더리향 _1,데오드란트 롤온 드라이 컴포트_0,데오드란트 롤온 드라이 컴포트_1,데오도란트_0,데오도란트_1,엑스트라 화이트  스틱 _0,엑스트라 화이트  스틱 _1,데오드란트 미스트_0,데오드란트 미스트_1,데오도란트 두세르_0,데오도란트 두세르_1,슈퍼 쿨링 파우더 시트 클린 솝 향_0,슈퍼 쿨링 파우더 시트 클린 솝 향_1,데오드란트 스틱드라이콤포트_0,데오드란트 스틱드라이콤포트_1,데오드란트 스프레이 패뷸러스 플라워_0,데오드란트 스프레이 패뷸러스 플라워_1,안티 퍼스피런트 데오드란트 스틱 패션_0,안티 퍼스피런트 데오드란트 스틱 패션_1,슈퍼쿨링파우더시트_0,슈퍼쿨링파우더시트_1,엑스트라 화이트  롤온 _0,엑스트라 화이트  롤온 _1,롤온 데오드란트  뱀부 _0,롤온 데오드란트  뱀부 _1
20,0.0,7.6923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.46511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.45098,84.33734,0.0,0.0,0.0,0.0,0.0,0.0,30.50847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.15841,49.7549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29357,10.75268,0.0,0.0,60.0,0.0
21,1.68918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.95348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.23529,75.90361,0.0,0.0,0.0,0.0,0.0,0.0,30.50847,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.67326,35.78431,0.0,0.0,42.10526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04587,13.97849,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,43.60465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.37254,71.08433,0.0,0.0,0.0,0.0,0.0,0.0,22.03389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.16831,44.11764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9633,12.90322,0.0,0.0,0.0,0.0
23,2.02702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,31.68604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.58823,43.37349,0.0,0.0,0.0,0.0,0.0,0.0,13.55932,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.24752,59.06862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88073,16.12903,0.0,0.0,0.0,50.0
24,1.68918,18.46153,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.34883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.45098,79.51807,0.0,0.0,0.0,0.0,0.0,0.0,33.8983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.76237,39.70588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.09174,11.82795,0.0,0.0,70.0,0.0
25,7.09459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.98837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.41176,72.28915,0.0,0.0,0.0,0.0,0.0,0.0,16.94915,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.17821,50.98039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.30275,6.45161,0.0,0.0,0.0,80.0
26,3.37837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,35.71428,11.9186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.64705,79.51807,0.0,0.0,0.0,0.0,0.0,0.0,28.81355,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0594,51.96078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04587,9.67741,0.0,0.0,50.0,0.0
27,3.37837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,83.33333,0.0,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.84883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.78431,67.46987,0.0,0.0,0.0,0.0,0.0,0.0,23.72881,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.13861,65.44117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9633,10.75268,0.0,0.0,50.0,60.0
28,7.09459,12.30769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,8.72093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.52941,67.46987,0.0,0.0,0.0,0.0,0.0,0.0,32.20338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.58415,52.94117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.46788,12.90322,0.0,0.0,0.0,60.0
29,3.04054,10.76923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65116,0.0,0.0,0.0,0.0,0.0,6.66666,0.0,0.0,82.35294,77.10843,0.0,0.0,0.0,0.0,0.0,0.0,22.03389,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.23762,51.96078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.46788,15.05376,0.0,0.0,90.0,0.0
