,케어플러스 상처커버 스팟패치_0,케어플러스 상처커버 스팟패치_1,이지덤 뷰티_0,이지덤 뷰티_1,프레쉬덤 안티 블레미쉬 패치_0,프레쉬덤 안티 블레미쉬 패치_1,하이드로 도트_0,하이드로 도트_1,블레미쉬 패치 케어_0,블레미쉬 패치 케어_1,케어플러스 잘라쓰는 사각패치_0,케어플러스 잘라쓰는 사각패치_1,스팟 케어 패치 키트_0,스팟 케어 패치 키트_1,위드덤 스킨커버 프렌드 실속형_0,위드덤 스킨커버 프렌드 실속형_1,닥터트럽 트러블 클리어 패치_0,닥터트럽 트러블 클리어 패치_1,에이씨 컬렉션 아크네 패치_0,에이씨 컬렉션 아크네 패치_1,하이맘 밴드_0,하이맘 밴드_1,트러블 큐어_0,트러블 큐어_1,아크네 핌플 마스터 패치_0,아크네 핌플 마스터 패치_1,티트리 솔루션 스팟 클리어 패치_0,티트리 솔루션 스팟 클리어 패치_1,이지케어 스팟패치_0,이지케어 스팟패치_1,스피디 솔루션  안티 트러블 패치 _0,스피디 솔루션  안티 트러블 패치 _1,원더패치_0,원더패치_1,클래리파잉 스팟 패치 키트_0,클래리파잉 스팟 패치 키트_1,매디큐어 하이드 밴드_0,매디큐어 하이드 밴드_1,스팟 패치_0,스팟 패치_1,지압자극 쿨링시트_0,지압자극 쿨링시트_1,휴족휴면_0,휴족휴면_1,쿨링시트_0,쿨링시트_1,수액시트_0,수액시트_1,종아리 알패치_0,종아리 알패치_1,스팀 아이마스크_0,스팀 아이마스크_1,더마 릴렉스 힐링 패치_0,더마 릴렉스 힐링 패치_1,컴포트 레스트 아이워머_0,컴포트 레스트 아이워머_1,데일리 아이마스크_0,데일리 아이마스크_1,아이워머_0,아이워머_1,꿀잠안대_0,꿀잠안대_1,휴식시간_0,휴식시간_1,베어 스팀 아이마스크_0,베어 스팀 아이마스크_1,수면 온열안대_0,수면 온열안대_1,쿨링풋_0,쿨링풋_1,호박 종아리패치_0,호박 종아리패치_1,히팅 아이 마스크_0,히팅 아이 마스크_1,데이리어 링거 오리발 팩_0,데이리어 링거 오리발 팩_1,스팀 아이 마스크_0,스팀 아이 마스크_1,아이온팩_0,아이온팩_1
31,0.0,0.0,6.45069,50.6268,0.0,0.0,0.0,55.55555,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65195,8.01061,73.33333,14.12037,0.0,21.27659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.80132,0.0,0.0,0.0,0.0,67.54385,40.58823,0.0,0.0,45.2,53.2,30.9417,17.92717,46.80851,64.44444,0.0,0.0,43.39622,85.08771,45.13715,48.94366,0.0,0.0,40.19607,0.0,36.12903,65.625,45.83333,0.0,38.31775,61.93548,0.0,16.66666,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,43.39622,85.08771,40.625,33.33333
32,33.33333,0.0,4.63435,60.17357,0.0,0.0,0.0,77.77777,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,6.79045,73.33333,12.5,0.0,19.14893,0.0,0.0,0.0,0.0,0.0,0.0,50.0,81.37417,0.0,0.0,0.0,0.0,61.4035,40.0,0.0,0.0,55.6,50.4,30.58295,16.80672,57.4468,35.55555,0.0,0.0,62.26415,69.29824,68.32917,37.32394,0.0,0.0,14.21568,0.0,22.58064,100.0,29.16666,0.0,51.40186,57.41935,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.26415,69.29824,34.375,51.66666
33,0.0,0.0,2.9987,50.53037,0.0,0.0,77.77777,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24448,6.10079,0.0,9.9537,0.0,17.02127,0.0,0.0,0.0,0.0,0.0,0.0,64.28571,80.21523,0.0,0.0,0.0,0.0,62.2807,61.17647,0.0,0.0,51.2,35.6,27.62331,20.72829,40.42553,53.33333,0.0,0.0,62.26415,71.92982,64.33915,48.59154,0.0,0.0,21.07843,46.15384,15.48387,68.75,0.0,0.0,43.92523,42.58064,0.0,54.7619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.26415,71.92982,68.75,40.0
34,33.33333,0.0,3.2713,43.10511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11205,5.83554,0.0,13.42592,0.0,21.27659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.46026,0.0,0.0,0.0,0.0,61.4035,78.23529,0.0,0.0,56.79999,43.2,31.92825,22.68907,55.31914,93.33333,0.0,0.0,32.07547,80.70175,67.33167,42.25352,0.0,0.0,18.62745,0.0,25.16129,68.75,12.5,14.70588,52.33644,23.2258,0.0,14.28571,50.0,21.73913,0.0,0.0,69.23076,0.0,0.0,0.0,0.0,0.0,32.07547,80.70175,53.125,43.33333
35,0.0,0.0,100.0,31.24397,0.0,0.0,55.55555,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77249,6.8435,0.0,9.49074,0.0,14.89361,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,89.81788,0.0,0.0,0.0,0.0,70.17543,77.64705,0.0,0.0,53.2,54.8,41.79372,13.16526,23.40425,40.0,0.0,0.0,50.94339,64.03508,65.58603,57.04225,0.0,0.0,15.68627,0.0,22.58064,42.1875,10.41666,0.0,51.40186,30.96774,0.0,21.42857,0.0,0.0,0.0,85.71428,46.15384,0.0,0.0,0.0,0.0,0.0,50.94339,64.03508,18.75,46.66666
36,33.33333,0.0,6.98323,30.47251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19524,9.49602,0.0,16.43518,0.0,23.40425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.84437,0.0,0.0,0.0,0.0,53.50877,78.82352,0.0,0.0,50.4,46.8,28.60986,10.92436,25.53191,53.33333,0.0,0.0,49.0566,83.33333,54.36408,52.11267,0.0,0.0,16.66666,0.0,100.0,29.6875,10.41666,0.0,42.05607,27.09677,0.0,0.0,50.0,34.7826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0566,83.33333,25.0,75.0
37,40.0,0.0,2.84654,29.50819,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2292,8.59416,0.0,12.26851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.41721,0.0,0.0,0.0,0.0,72.80701,67.05882,0.0,0.0,35.6,43.6,44.57399,12.88515,51.06382,35.55555,0.0,0.0,50.94339,66.66666,50.87281,51.40845,0.0,0.0,16.17647,0.0,65.80645,40.625,45.83333,0.0,34.57943,34.8387,0.0,38.09523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,50.94339,66.66666,53.125,73.33333
38,0.0,0.0,2.45982,25.16875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3803,7.5862,0.0,13.42592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.69867,0.0,0.0,0.0,0.0,78.94736,64.11764,0.0,0.0,43.2,45.2,55.06726,19.32773,42.55319,60.0,0.0,0.0,83.01886,55.26315,67.83042,52.8169,0.0,0.0,12.74509,53.84615,30.96774,62.5,54.16666,0.0,34.57943,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.01886,55.26315,40.625,71.66666
39,0.0,0.0,1.77512,28.83317,0.0,0.0,0.0,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0747,7.42705,0.0,24.07407,0.0,12.76595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.68874,0.0,0.0,0.0,0.0,65.78947,72.35294,0.0,0.0,54.8,37.6,47.89237,22.12885,57.4468,42.22222,0.0,0.0,100.0,60.52631,70.07481,50.35211,0.0,0.0,15.19607,61.53846,27.74193,39.0625,29.16666,0.0,48.59813,34.19354,23.80952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,60.52631,53.125,66.66666
40,0.0,0.0,1.70222,28.06171,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27843,7.21485,0.0,71.06481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.88079,0.0,0.0,0.0,0.0,55.26315,71.17647,0.0,0.0,46.8,28.0,46.00896,20.16806,61.70212,88.88888,0.0,0.0,81.13207,70.17543,52.1197,55.98591,0.0,0.0,4.90196,0.0,29.03225,51.5625,0.0,58.82352,53.27102,27.74193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.13207,70.17543,50.0,41.66666
