,수퍼 파워 네일 리무버_0,수퍼 파워 네일 리무버_1,넌 아세톤 리무버_0,넌 아세톤 리무버_1,스위트 네일 리무버_0,스위트 네일 리무버_1,세라믹 포켓 루즈스킨 리무버_0,세라믹 포켓 루즈스킨 리무버_1,셀프 네일 살롱 리무버  아세톤 프리 _0,셀프 네일 살롱 리무버  아세톤 프리 _1,매직 오프   케어_0,매직 오프   케어_1,엑스퍼트터치 리무버_0,엑스퍼트터치 리무버_1,토니네일 리무버_0,토니네일 리무버_1,퍼펙트 네일 리무버_0,퍼펙트 네일 리무버_1,비타민 네일 리무버_0,비타민 네일 리무버_1,젤램프_0,젤램프_1,루비푸셔_0,루비푸셔_1,네일아트 스틱_0,네일아트 스틱_1,UV gel lamp  sup    _0,UV gel lamp  sup    _1, WAY네일버퍼 오목형 _0, WAY네일버퍼 오목형 _1,우드 파일_0,우드 파일_1,프로 젤램프_0,프로 젤램프_1,세라믹 양면 네일푸셔 파일_0,세라믹 양면 네일푸셔 파일_1,핀셋 무광블랙 _0,핀셋 무광블랙 _1,꾹꾹이_0,꾹꾹이_1,뷰티툴 네일 에모리 보드_0,뷰티툴 네일 에모리 보드_1,UV LED 젤램프_0,UV LED 젤램프_1,하또하또 젤램프_0,하또하또 젤램프_1,네일 푸셔_0,네일 푸셔_1, 단계 사각 버퍼_0, 단계 사각 버퍼_1,네일 컬러 쉐이킹 볼_0,네일 컬러 쉐이킹 볼_1,손톱깎이  소 _0,손톱깎이  소 _1,뷰티 툴 에모리 보드_0,뷰티 툴 에모리 보드_1,이피다 램프_0,이피다 램프_1,셀프 네일 살롱 큐티클 푸셔_0,셀프 네일 살롱 큐티클 푸셔_1,입는 오버나이트_0,입는 오버나이트_1,중형_0,중형_1,후아 내추럴 순면커버 생리대 대형_0,후아 내추럴 순면커버 생리대 대형_1,타임 레볼루션 개똥쑥 약산성 여성청결제_0,타임 레볼루션 개똥쑥 약산성 여성청결제_1,수퍼롱 오버나이트_0,수퍼롱 오버나이트_1,플레이텍스 젠틀 글라이드      수퍼 _0,플레이텍스 젠틀 글라이드      수퍼 _1,후리 앤 후리 티슈_0,후리 앤 후리 티슈_1,후리 앤 후리_0,후리 앤 후리_1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.09625,67.5367,0.0,78.94736,0.0,0.0,0.0,0.0,0.0,0.0,60.71428,50.0,0.0,0.0,0.0,0.0,0.0,0.0,69.62025,62.72727,0.0,0.0,100.0,0.0,0.0,48.38709,52.04081,41.83673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.37402,69.81132,79.16666,66.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,63.63636
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.80035,67.292,0.0,94.73684,0.0,0.0,0.0,0.0,0.0,0.0,50.0,78.57142,0.0,0.0,0.0,0.0,0.0,0.0,69.62025,34.54545,0.0,0.0,60.0,0.0,0.0,51.6129,61.22448,66.32653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.26748,60.59933,47.22222,42.10526,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,83.33333,54.54545
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.97504,53.8336,0.0,36.8421,0.0,0.0,0.0,0.0,0.0,0.0,39.28571,82.14285,0.0,0.0,0.0,0.0,0.0,0.0,82.27848,52.72727,0.0,0.0,0.0,0.0,22.22222,25.80645,55.10204,60.20408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.495,54.93895,69.44444,76.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.96613,58.48287,0.0,52.63157,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,64.55696,40.0,0.0,0.0,0.0,0.0,0.0,22.58064,92.85714,69.38775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.48945,55.16093,62.5,58.94736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.31372,62.23491,33.33333,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,78.48101,55.45454,0.0,0.0,0.0,0.0,0.0,0.0,51.0204,48.97959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.04772,51.83129,69.44444,70.52631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,27.27272
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.86987,50.65252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28571,0.0,0.0,0.0,0.0,0.0,0.0,75.94936,52.72727,0.0,0.0,0.0,0.0,0.0,32.25806,58.16326,59.18367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.27635,61.15427,66.66666,73.68421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,54.54545
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.42245,49.59216,33.33333,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,46.42857,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,67.0886,54.54545,0.0,0.0,0.0,0.0,0.0,19.35483,38.77551,63.2653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.93451,65.81576,61.11111,62.10526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.16666,86.36363
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.08734,50.89722,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,69.62025,51.81818,0.0,0.0,0.0,0.0,0.0,29.03225,55.10204,76.53061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.04661,72.14206,77.77777,78.94736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,31.81818
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.11408,61.25611,33.33333,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,39.28571,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,82.27848,49.0909,0.0,0.0,50.0,0.0,0.0,51.6129,41.83673,63.2653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.80799,80.91009,70.83333,53.68421,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,25.0,40.90909
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.34046,54.97553,0.0,36.8421,0.0,0.0,0.0,0.0,0.0,0.0,39.28571,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,60.75949,49.0909,0.0,0.0,0.0,0.0,0.0,32.25806,66.32653,69.38775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.72364,78.46836,79.16666,93.68421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0
